date,temperature,humidity,wind,precipitation,snowfall,city
2011-04-11,38.2,35,14.5,0.0,0.0,Ahmedabad
2011-04-12,38.2,35,14.1,0.0,0.0,Ahmedabad
2011-04-13,38.1,36,13.4,0.0,0.0,Ahmedabad
2011-04-14,38.5,35,10.8,0.0,0.0,Ahmedabad
2011-04-15,38.9,33,9.0,0.0,0.0,Ahmedabad
2011-04-16,38.7,40,12.0,0.0,0.0,Ahmedabad
2011-04-17,38.7,40,17.4,0.2,0.0,Ahmedabad
2011-04-18,38.0,28,11.8,0.0,0.0,Ahmedabad
2011-04-19,38.4,23,10.2,0.0,0.0,Ahmedabad
2011-04-20,38.7,21,9.7,0.0,0.0,Ahmedabad
2011-04-21,39.4,25,9.6,0.0,0.0,Ahmedabad
2011-04-22,40.2,25,10.9,0.0,0.0,Ahmedabad
2011-04-23,40.4,20,11.1,0.0,0.0,Ahmedabad
2011-04-24,40.2,23,12.2,0.0,0.0,Ahmedabad
2011-04-25,40.0,24,16.6,0.0,0.0,Ahmedabad
2011-04-26,40.5,28,18.5,0.0,0.0,Ahmedabad
2011-04-27,41.1,29,15.1,0.0,0.0,Ahmedabad
2011-04-28,40.7,31,17.1,0.0,0.0,Ahmedabad
2011-04-29,39.5,38,18.9,0.0,0.0,Ahmedabad
2011-04-30,38.9,43,20.8,0.0,0.0,Ahmedabad
2011-05-01,39.2,38,17.7,0.0,0.0,Ahmedabad
2011-05-02,39.3,40,18.7,0.0,0.0,Ahmedabad
2011-05-03,38.3,46,15.9,0.0,0.0,Ahmedabad
2011-05-04,37.4,55,15.5,0.0,0.0,Ahmedabad
2011-05-05,37.2,58,19.1,0.0,0.0,Ahmedabad
2011-05-06,37.5,47,16.9,0.0,0.0,Ahmedabad
2011-05-07,37.7,51,16.1,0.0,0.0,Ahmedabad
2011-05-08,39.9,50,14.2,0.0,0.0,Ahmedabad
2011-05-09,40.5,45,13.7,0.0,0.0,Ahmedabad
2011-05-10,39.6,51,15.8,0.0,0.0,Ahmedabad
2011-05-11,40.1,48,16.3,0.0,0.0,Ahmedabad
2011-05-12,39.5,54,15.1,0.0,0.0,Ahmedabad
2011-05-13,39.5,52,13.4,0.0,0.0,Ahmedabad
2011-05-14,40.1,46,17.3,0.0,0.0,Ahmedabad
2011-05-15,40.2,43,14.0,0.0,0.0,Ahmedabad
2011-05-16,39.5,47,15.2,0.0,0.0,Ahmedabad
2011-05-17,40.5,48,12.1,0.0,0.0,Ahmedabad
2011-05-18,40.6,49,14.6,0.0,0.0,Ahmedabad
2011-05-19,40.2,53,19.5,0.0,0.0,Ahmedabad
2011-05-20,40.7,50,23.7,0.0,0.0,Ahmedabad
2011-05-21,39.1,55,25.3,0.0,0.0,Ahmedabad
2011-05-22,38.9,57,23.7,0.0,0.0,Ahmedabad
2011-05-23,39.3,56,19.5,0.0,0.0,Ahmedabad
2011-05-24,38.9,54,16.2,0.0,0.0,Ahmedabad
2011-05-25,39.0,55,14.5,0.0,0.0,Ahmedabad
2011-05-26,39.1,52,14.2,0.0,0.0,Ahmedabad
2011-05-27,39.8,47,14.2,0.0,0.0,Ahmedabad
2011-05-28,39.8,45,15.3,0.0,0.0,Ahmedabad
2011-05-29,40.0,46,17.0,0.0,0.0,Ahmedabad
2011-05-30,40.3,49,19.1,0.0,0.0,Ahmedabad
2011-05-31,40.5,55,19.0,0.0,0.0,Ahmedabad
2011-06-01,39.1,55,21.3,0.0,0.0,Ahmedabad
2011-06-02,39.2,49,15.8,0.0,0.0,Ahmedabad
2011-06-03,39.3,52,13.8,0.3,0.0,Ahmedabad
2011-06-04,39.8,48,14.3,1.0,0.0,Ahmedabad
2011-06-05,41.6,47,20.9,0.0,0.0,Ahmedabad
2011-06-06,41.6,49,15.3,0.0,0.0,Ahmedabad
2011-06-07,41.1,54,23.0,0.0,0.0,Ahmedabad
2011-06-08,39.1,60,20.9,0.0,0.0,Ahmedabad
2011-06-09,38.6,59,22.8,0.0,0.0,Ahmedabad
2011-06-10,37.9,59,21.3,0.0,0.0,Ahmedabad
2011-06-11,37.8,65,23.0,0.0,0.0,Ahmedabad
2011-06-12,36.5,65,24.2,0.0,0.0,Ahmedabad
2011-06-13,35.9,65,21.7,0.0,0.0,Ahmedabad
2011-06-14,37.2,56,20.2,0.0,0.0,Ahmedabad
2011-06-15,37.4,53,20.6,0.0,0.0,Ahmedabad
2011-06-16,37.8,55,22.1,0.1,0.0,Ahmedabad
2011-06-17,37.1,54,23.3,0.0,0.0,Ahmedabad
2011-06-18,37.0,54,21.7,0.0,0.0,Ahmedabad
2011-06-19,36.1,57,20.5,0.0,0.0,Ahmedabad
2011-06-20,37.7,54,21.2,0.0,0.0,Ahmedabad
2011-06-21,36.3,56,20.9,0.1,0.0,Ahmedabad
2011-06-22,36.9,56,23.4,0.2,0.0,Ahmedabad
2011-06-23,33.4,61,21.0,0.1,0.0,Ahmedabad
2011-06-24,33.0,64,22.8,2.7,0.0,Ahmedabad
2011-06-25,34.6,57,21.3,0.2,0.0,Ahmedabad
2011-06-26,36.8,55,20.1,0.1,0.0,Ahmedabad
2011-06-27,35.2,58,19.6,0.0,0.0,Ahmedabad
2011-06-28,35.1,60,22.7,0.4,0.0,Ahmedabad
2011-06-29,34.7,60,21.4,0.0,0.0,Ahmedabad
2011-06-30,36.8,57,24.9,0.5,0.0,Ahmedabad
2011-07-01,36.6,55,22.9,0.1,0.0,Ahmedabad
2011-07-02,36.6,56,18.8,0.0,0.0,Ahmedabad
2011-07-03,35.0,62,20.8,0.5,0.0,Ahmedabad
2011-07-04,36.1,61,16.8,0.0,0.0,Ahmedabad
2011-07-05,37.1,56,13.2,0.0,0.0,Ahmedabad
2011-07-06,30.9,76,14.1,9.9,0.0,Ahmedabad
2011-07-07,33.7,82,13.0,15.1,0.0,Ahmedabad
2011-07-08,29.3,89,13.3,12.9,0.0,Ahmedabad
2011-07-09,26.9,94,14.1,35.9,0.0,Ahmedabad
2011-07-10,27.4,92,17.2,25.9,0.0,Ahmedabad
2011-07-11,30.2,87,16.7,18.1,0.0,Ahmedabad
2011-07-12,31.9,74,15.8,0.0,0.0,Ahmedabad
2011-07-13,30.9,76,17.0,0.0,0.0,Ahmedabad
2011-07-14,30.1,82,12.7,5.0,0.0,Ahmedabad
2011-07-15,31.8,77,15.9,0.0,0.0,Ahmedabad
2011-07-16,31.2,84,12.8,9.3,0.0,Ahmedabad
2011-07-17,31.8,84,9.0,5.5,0.0,Ahmedabad
2011-07-18,32.5,87,15.0,10.6,0.0,Ahmedabad
2011-07-19,28.5,90,16.6,17.9,0.0,Ahmedabad
2011-07-20,31.9,73,21.9,0.3,0.0,Ahmedabad
2011-07-21,31.9,74,23.0,0.6,0.0,Ahmedabad
2011-07-22,31.3,75,18.8,0.6,0.0,Ahmedabad
2011-07-23,28.1,86,15.6,5.6,0.0,Ahmedabad
2011-07-24,29.4,79,12.6,15.7,0.0,Ahmedabad
2011-07-25,29.1,83,7.1,11.5,0.0,Ahmedabad
2011-07-26,31.3,85,13.7,2.5,0.0,Ahmedabad
2011-07-27,32.2,86,13.0,4.8,0.0,Ahmedabad
2011-07-28,30.6,85,11.5,7.2,0.0,Ahmedabad
2011-07-29,31.1,84,12.1,3.1,0.0,Ahmedabad
2011-07-30,29.9,88,11.2,13.7,0.0,Ahmedabad
2011-07-31,29.7,90,12.5,9.9,0.0,Ahmedabad
2011-08-01,29.2,87,14.1,4.6,0.0,Ahmedabad
