date,temperature,humidity,wind,precipitation,snowfall,city
2011-04-11,36.0,25,15.5,0.0,0.0,Ajmer
2011-04-12,33.5,39,13.2,0.0,0.0,Ajmer
2011-04-13,34.2,39,12.0,2.0,0.0,Ajmer
2011-04-14,34.6,27,11.8,0.0,0.0,Ajmer
2011-04-15,35.9,24,10.9,0.0,0.0,Ajmer
2011-04-16,37.3,25,14.3,0.0,0.0,Ajmer
2011-04-17,35.4,40,20.7,2.2,0.0,Ajmer
2011-04-18,33.4,30,13.5,0.0,0.0,Ajmer
2011-04-19,35.1,26,16.3,0.0,0.0,Ajmer
2011-04-20,34.8,23,13.7,0.0,0.0,Ajmer
2011-04-21,35.3,20,13.4,0.0,0.0,Ajmer
2011-04-22,36.6,17,16.0,0.0,0.0,Ajmer
2011-04-23,37.5,17,15.0,0.0,0.0,Ajmer
2011-04-24,38.3,18,15.3,0.0,0.0,Ajmer
2011-04-25,39.5,14,11.1,0.0,0.0,Ajmer
2011-04-26,40.3,13,14.8,0.0,0.0,Ajmer
2011-04-27,40.5,22,14.9,0.0,0.0,Ajmer
2011-04-28,40.3,16,18.8,0.0,0.0,Ajmer
2011-04-29,38.8,20,20.6,0.0,0.0,Ajmer
2011-04-30,39.2,24,23.1,0.0,0.0,Ajmer
2011-05-01,38.9,22,21.7,0.0,0.0,Ajmer
2011-05-02,37.7,27,21.7,0.0,0.0,Ajmer
2011-05-03,38.4,30,22.0,0.0,0.0,Ajmer
2011-05-04,37.8,34,22.3,0.0,0.0,Ajmer
2011-05-05,37.8,35,17.5,0.0,0.0,Ajmer
2011-05-06,37.6,28,18.4,0.0,0.0,Ajmer
2011-05-07,38.1,23,13.6,0.0,0.0,Ajmer
2011-05-08,39.8,21,16.5,0.0,0.0,Ajmer
2011-05-09,40.6,19,24.1,0.0,0.0,Ajmer
2011-05-10,40.4,26,23.3,0.3,0.0,Ajmer
2011-05-11,40.8,33,23.7,0.0,0.0,Ajmer
2011-05-12,40.4,32,22.5,0.0,0.0,Ajmer
2011-05-13,40.5,32,20.5,0.2,0.0,Ajmer
2011-05-14,40.5,28,18.9,0.0,0.0,Ajmer
2011-05-15,41.0,24,13.8,0.0,0.0,Ajmer
2011-05-16,41.8,20,15.5,0.0,0.0,Ajmer
2011-05-17,40.8,29,20.3,0.3,0.0,Ajmer
2011-05-18,41.5,26,18.5,0.1,0.0,Ajmer
2011-05-19,41.8,29,23.0,0.0,0.0,Ajmer
2011-05-20,40.8,34,23.8,0.0,0.0,Ajmer
2011-05-21,39.5,38,20.3,0.0,0.0,Ajmer
2011-05-22,39.8,39,19.2,0.6,0.0,Ajmer
2011-05-23,39.1,38,22.8,0.0,0.0,Ajmer
2011-05-24,39.7,38,25.0,0.0,0.0,Ajmer
2011-05-25,40.0,36,19.8,0.0,0.0,Ajmer
2011-05-26,39.8,35,19.6,0.0,0.0,Ajmer
2011-05-27,40.6,31,17.5,0.0,0.0,Ajmer
2011-05-28,39.9,30,18.1,0.0,0.0,Ajmer
2011-05-29,40.4,30,21.7,0.0,0.0,Ajmer
