date,temperature,humidity,wind,precipitation,snowfall,city
2011-04-11,38.3,38,9.6,0.0,0.0,Anand
2011-04-12,38.4,36,12.7,0.0,0.0,Anand
2011-04-13,38.0,37,12.6,0.0,0.0,Anand
2011-04-14,38.3,37,9.2,0.0,0.0,Anand
2011-04-15,38.9,37,12.9,0.0,0.0,Anand
2011-04-16,38.8,43,13.3,0.0,0.0,Anand
2011-04-17,39.2,45,16.6,0.2,0.0,Anand
2011-04-18,38.1,30,13.2,0.0,0.0,Anand
2011-04-19,38.5,23,11.1,0.0,0.0,Anand
2011-04-20,38.8,20,9.9,0.0,0.0,Anand
2011-04-21,38.8,28,9.1,0.0,0.0,Anand
2011-04-22,40.1,31,9.7,0.0,0.0,Anand
2011-04-23,40.1,38,10.2,0.0,0.0,Anand
2011-04-24,40.0,29,12.5,0.0,0.0,Anand
2011-04-25,40.0,29,12.1,0.0,0.0,Anand
2011-04-26,40.8,27,15.6,0.0,0.0,Anand
2011-04-27,41.7,27,14.0,0.0,0.0,Anand
2011-04-28,41.1,29,16.8,0.0,0.0,Anand
2011-04-29,40.0,36,16.4,0.0,0.0,Anand
2011-04-30,39.6,39,19.0,0.0,0.0,Anand
2011-05-01,39.5,37,13.8,0.0,0.0,Anand
2011-05-02,39.2,37,15.9,0.0,0.0,Anand
2011-05-03,37.9,46,17.4,0.0,0.0,Anand
2011-05-04,36.0,56,18.7,0.0,0.0,Anand
2011-05-05,36.6,58,19.1,0.0,0.0,Anand
2011-05-06,37.1,48,18.1,0.0,0.0,Anand
2011-05-07,37.2,54,17.1,0.0,0.0,Anand
2011-05-08,39.0,55,16.8,0.0,0.0,Anand
2011-05-09,39.7,48,15.6,0.0,0.0,Anand
2011-05-10,38.2,54,18.9,0.0,0.0,Anand
2011-05-11,38.9,51,16.3,0.0,0.0,Anand
2011-05-12,38.3,54,18.6,0.0,0.0,Anand
2011-05-13,38.4,55,16.1,0.0,0.0,Anand
2011-05-14,39.6,54,17.2,0.0,0.0,Anand
2011-05-15,40.0,48,16.4,0.0,0.0,Anand
2011-05-16,39.0,47,14.3,0.0,0.0,Anand
2011-05-17,40.5,49,12.9,0.5,0.0,Anand
2011-05-18,39.9,48,17.9,0.0,0.0,Anand
2011-05-19,39.1,56,20.9,0.0,0.0,Anand
2011-05-20,38.1,58,28.0,0.0,0.0,Anand
2011-05-21,36.4,63,27.7,0.0,0.0,Anand
2011-05-22,37.5,61,23.6,0.0,0.0,Anand
2011-05-23,38.2,59,18.6,0.0,0.0,Anand
2011-05-24,38.0,54,17.5,0.0,0.0,Anand
