date,temperature,humidity,wind,precipitation,snowfall,city
2011-04-11,32.5,44,12.3,0.0,0.0,Chandigarh
2011-04-12,31.6,50,17.3,4.0,0.0,Chandigarh
2011-04-13,30.5,54,9.3,0.5,0.0,Chandigarh
2011-04-14,31.3,49,9.2,0.0,0.0,Chandigarh
2011-04-15,32.0,51,12.2,0.0,0.0,Chandigarh
2011-04-16,31.8,51,17.2,0.1,0.0,Chandigarh
2011-04-17,30.3,69,17.0,9.4,0.0,Chandigarh
2011-04-18,28.7,69,11.8,7.3,0.0,Chandigarh
2011-04-19,29.1,62,9.4,4.0,0.0,Chandigarh
2011-04-20,29.6,56,8.4,0.3,0.0,Chandigarh
2011-04-21,30.8,52,16.9,0.5,0.0,Chandigarh
2011-04-22,31.6,47,14.3,0.3,0.0,Chandigarh
2011-04-23,33.0,47,9.5,0.0,0.0,Chandigarh
2011-04-24,34.9,45,7.9,0.0,0.0,Chandigarh
2011-04-25,36.8,47,13.9,0.0,0.0,Chandigarh
2011-04-26,34.3,41,28.3,0.0,0.0,Chandigarh
2011-04-27,34.5,44,17.2,0.0,0.0,Chandigarh
2011-04-28,36.1,44,11.4,0.0,0.0,Chandigarh
2011-04-29,37.7,33,16.4,0.0,0.0,Chandigarh
2011-04-30,37.5,29,9.8,0.0,0.0,Chandigarh
2011-05-01,38.2,29,12.8,0.4,0.0,Chandigarh
2011-05-02,37.1,31,17.1,0.0,0.0,Chandigarh
2011-05-03,37.8,34,14.3,0.0,0.0,Chandigarh
2011-05-04,38.6,31,13.4,0.0,0.0,Chandigarh
2011-05-05,36.1,36,21.1,0.1,0.0,Chandigarh
2011-05-06,32.7,54,16.8,2.0,0.0,Chandigarh
2011-05-07,34.6,50,20.4,0.2,0.0,Chandigarh
2011-05-08,35.7,37,15.0,0.0,0.0,Chandigarh
2011-05-09,37.9,33,16.6,0.0,0.0,Chandigarh
2011-05-10,39.4,26,19.8,0.1,0.0,Chandigarh
2011-05-11,40.0,23,21.1,0.4,0.0,Chandigarh
2011-05-12,40.9,21,17.7,0.0,0.0,Chandigarh
2011-05-13,38.4,23,14.7,0.2,0.0,Chandigarh
2011-05-14,38.8,25,14.2,0.0,0.0,Chandigarh
2011-05-15,39.7,28,13.4,0.0,0.0,Chandigarh
2011-05-16,40.1,28,13.2,0.0,0.0,Chandigarh
2011-05-17,40.9,26,14.0,0.0,0.0,Chandigarh
2011-05-18,40.2,28,16.1,0.1,0.0,Chandigarh
2011-05-19,39.1,38,18.6,0.9,0.0,Chandigarh
2011-05-20,36.7,49,25.1,0.8,0.0,Chandigarh
2011-05-21,35.5,52,18.7,0.3,0.0,Chandigarh
2011-05-22,33.5,58,13.1,3.3,0.0,Chandigarh
2011-05-23,35.4,50,18.4,0.0,0.0,Chandigarh
2011-05-24,38.4,39,20.9,0.0,0.0,Chandigarh
2011-05-25,39.2,37,10.5,0.6,0.0,Chandigarh
2011-05-26,38.3,41,10.0,1.4,0.0,Chandigarh
2011-05-27,35.2,54,14.5,0.5,0.0,Chandigarh
2011-05-28,37.5,47,14.8,0.0,0.0,Chandigarh
2011-05-29,38.9,40,15.6,0.0,0.0,Chandigarh
2011-05-30,37.8,43,10.0,0.9,0.0,Chandigarh
2011-05-31,35.9,48,21.5,0.0,0.0,Chandigarh
2011-06-01,33.6,56,17.8,5.4,0.0,Chandigarh
2011-06-02,33.2,61,14.8,13.0,0.0,Chandigarh
2011-06-03,36.0,46,14.4,0.0,0.0,Chandigarh
2011-06-04,36.6,41,14.6,0.0,0.0,Chandigarh
2011-06-05,38.4,44,14.8,0.0,0.0,Chandigarh
2011-06-06,38.7,42,13.2,0.7,0.0,Chandigarh
2011-06-07,38.2,44,14.8,3.2,0.0,Chandigarh
2011-06-08,37.0,41,22.1,0.0,0.0,Chandigarh
2011-06-09,36.2,48,18.0,0.2,0.0,Chandigarh
2011-06-10,34.5,54,19.8,0.1,0.0,Chandigarh
2011-06-11,37.0,51,8.8,0.0,0.0,Chandigarh
2011-06-12,35.4,54,13.7,1.0,0.0,Chandigarh
2011-06-13,37.9,52,22.1,0.0,0.0,Chandigarh
2011-06-14,38.5,44,14.9,0.0,0.0,Chandigarh
2011-06-15,34.6,57,23.2,0.3,0.0,Chandigarh
2011-06-16,34.7,60,16.1,0.8,0.0,Chandigarh
2011-06-17,33.3,66,12.4,1.7,0.0,Chandigarh
2011-06-18,32.8,69,10.0,6.4,0.0,Chandigarh
2011-06-19,35.3,66,11.0,0.7,0.0,Chandigarh
2011-06-20,33.7,67,17.9,1.7,0.0,Chandigarh
2011-06-21,35.4,64,7.3,0.3,0.0,Chandigarh
2011-06-22,35.9,61,12.2,0.0,0.0,Chandigarh
2011-06-23,35.2,63,9.7,2.1,0.0,Chandigarh
2011-06-24,35.0,66,9.3,0.7,0.0,Chandigarh
2011-06-25,32.4,74,14.6,4.9,0.0,Chandigarh
2011-06-26,29.8,84,14.4,11.7,0.0,Chandigarh
2011-06-27,32.0,76,12.7,0.5,0.0,Chandigarh
2011-06-28,33.3,76,12.5,4.1,0.0,Chandigarh
2011-06-29,29.1,78,15.4,3.1,0.0,Chandigarh
2011-06-30,31.5,74,6.5,0.8,0.0,Chandigarh
2011-07-01,31.2,79,11.3,1.8,0.0,Chandigarh
2011-07-02,32.6,78,16.0,1.9,0.0,Chandigarh
2011-07-03,34.3,73,16.1,1.1,0.0,Chandigarh
2011-07-04,34.8,69,16.3,0.0,0.0,Chandigarh
2011-07-05,34.6,65,15.3,0.0,0.0,Chandigarh
2011-07-06,32.7,67,16.1,0.0,0.0,Chandigarh
2011-07-07,32.0,72,14.5,0.7,0.0,Chandigarh
2011-07-08,28.8,79,17.4,3.6,0.0,Chandigarh
2011-07-09,31.3,75,13.4,1.2,0.0,Chandigarh
2011-07-10,32.2,80,11.3,5.1,0.0,Chandigarh
2011-07-11,33.5,72,11.4,0.3,0.0,Chandigarh
2011-07-12,34.1,70,10.0,0.1,0.0,Chandigarh
2011-07-13,33.2,73,12.0,0.6,0.0,Chandigarh
2011-07-14,33.2,75,15.7,7.6,0.0,Chandigarh
2011-07-15,30.3,79,19.7,1.1,0.0,Chandigarh
2011-07-16,32.2,75,14.6,0.5,0.0,Chandigarh
2011-07-17,31.8,73,12.8,0.9,0.0,Chandigarh
2011-07-18,31.6,77,5.8,4.3,0.0,Chandigarh
2011-07-19,34.1,71,14.8,0.4,0.0,Chandigarh
2011-07-20,34.8,72,13.5,1.9,0.0,Chandigarh
2011-07-21,32.4,74,15.6,1.1,0.0,Chandigarh
2011-07-22,33.4,67,8.4,0.1,0.0,Chandigarh
2011-07-23,28.9,78,20.1,5.0,0.0,Chandigarh
2011-07-24,29.1,76,10.2,5.4,0.0,Chandigarh
2011-07-25,28.8,84,10.2,18.8,0.0,Chandigarh
2011-07-26,32.3,73,7.8,0.0,0.0,Chandigarh
2011-07-27,31.7,83,10.7,11.5,0.0,Chandigarh
2011-07-28,30.5,88,10.2,12.5,0.0,Chandigarh
2011-07-29,29.7,88,11.8,2.4,0.0,Chandigarh
2011-07-30,31.7,82,10.7,2.0,0.0,Chandigarh
2011-07-31,32.9,80,10.5,0.9,0.0,Chandigarh
2011-08-01,32.7,80,12.3,1.3,0.0,Chandigarh
2011-08-02,33.9,77,12.6,0.5,0.0,Chandigarh
2011-08-03,32.7,79,11.2,1.8,0.0,Chandigarh
2011-08-04,30.4,81,13.9,4.6,0.0,Chandigarh
2011-08-05,31.4,83,8.0,5.7,0.0,Chandigarh
2011-08-06,30.4,84,11.0,3.0,0.0,Chandigarh
2011-08-07,31.5,78,12.3,0.6,0.0,Chandigarh
2011-08-08,31.4,72,12.3,2.9,0.0,Chandigarh
2011-08-09,33.0,71,13.6,3.0,0.0,Chandigarh
2011-08-10,30.0,84,9.8,27.8,0.0,Chandigarh
2011-08-11,30.6,81,10.2,21.1,0.0,Chandigarh
2011-08-12,29.4,78,16.4,0.3,0.0,Chandigarh
2011-08-13,29.0,78,9.2,1.4,0.0,Chandigarh
2011-08-14,29.2,82,9.4,11.4,0.0,Chandigarh
2011-08-15,27.4,89,9.3,85.7,0.0,Chandigarh
2011-08-16,25.3,92,15.8,35.8,0.0,Chandigarh
2011-08-17,29.0,85,7.2,3.5,0.0,Chandigarh
2011-08-18,30.0,88,12.9,5.3,0.0,Chandigarh
2011-08-19,28.5,84,11.9,2.1,0.0,Chandigarh
2011-08-20,30.3,82,9.7,6.3,0.0,Chandigarh
2011-08-21,31.6,79,7.7,0.0,0.0,Chandigarh
2011-08-22,32.2,83,12.4,1.0,0.0,Chandigarh
2011-08-23,31.8,87,13.0,14.9,0.0,Chandigarh
2011-08-24,26.1,93,15.8,38.8,0.0,Chandigarh
2011-08-25,30.7,83,12.6,0.9,0.0,Chandigarh
2011-08-26,29.4,87,10.1,2.3,0.0,Chandigarh
2011-08-27,28.9,86,12.5,5.1,0.0,Chandigarh
2011-08-28,31.5,77,9.8,0.0,0.0,Chandigarh
2011-08-29,32.3,76,8.4,0.0,0.0,Chandigarh
2011-08-30,31.5,81,11.7,0.8,0.0,Chandigarh
2011-08-31,32.0,78,6.3,0.0,0.0,Chandigarh
2011-09-01,31.9,75,8.2,0.0,0.0,Chandigarh
2011-09-02,32.1,81,13.8,2.0,0.0,Chandigarh
2011-09-03,30.7,84,8.2,4.0,0.0,Chandigarh
2011-09-04,31.3,77,6.6,0.2,0.0,Chandigarh
2011-09-05,31.3,81,6.6,1.1,0.0,Chandigarh
2011-09-06,30.7,81,9.1,0.4,0.0,Chandigarh
2011-09-07,30.2,83,7.9,0.3,0.0,Chandigarh
2011-09-08,30.3,85,14.2,7.8,0.0,Chandigarh
2011-09-09,25.7,93,11.2,10.5,0.0,Chandigarh
2011-09-10,30.2,83,8.7,0.8,0.0,Chandigarh
2011-09-11,29.9,81,12.1,0.5,0.0,Chandigarh
2011-09-12,31.0,81,9.1,5.0,0.0,Chandigarh
2011-09-13,31.0,82,6.8,2.8,0.0,Chandigarh
2011-09-14,30.4,85,12.1,3.0,0.0,Chandigarh
2011-09-15,28.6,88,13.7,14.0,0.0,Chandigarh
2011-09-16,28.1,89,8.4,18.5,0.0,Chandigarh
2011-09-17,29.3,85,12.1,0.3,0.0,Chandigarh
2011-09-18,29.7,83,14.6,0.1,0.0,Chandigarh
2011-09-19,30.3,80,13.2,0.0,0.0,Chandigarh
