date,temperature,humidity,wind,city
2011-04-08,32.9,38,14.1,Delhi
2011-04-09,33.7,33,11.8,Delhi
2011-04-10,33.2,36,14.1,Delhi
2011-04-11,34.7,40,8.8,Delhi
2011-04-12,33.5,50,12.6,Delhi
2011-04-13,33.4,50,8.8,Delhi
2011-04-14,34.2,46,10.2,Delhi
2011-04-15,35.2,40,9.5,Delhi
2011-04-16,35.5,39,11.8,Delhi
2011-04-17,35.0,56,16.1,Delhi
2011-04-18,32.6,56,14.8,Delhi
2011-04-19,33.4,46,13.8,Delhi
2011-04-20,33.6,39,11.6,Delhi
2011-04-21,35.1,31,16.5,Delhi
2011-04-22,35.5,29,17.7,Delhi
2011-04-23,36.4,32,10.5,Delhi
2011-04-24,38.0,29,12.3,Delhi
2011-04-25,39.8,26,12.3,Delhi
2011-04-26,36.4,34,24.9,Delhi
2011-04-27,36.0,44,13.5,Delhi
2011-04-28,39.0,36,14.1,Delhi
2011-04-29,40.7,28,19.9,Delhi
2011-04-30,40.0,27,16.8,Delhi
2011-05-01,40.7,22,21.4,Delhi
2011-05-02,40.4,22,16.5,Delhi
2011-05-03,41.1,27,17.2,Delhi
2011-05-04,40.1,29,14.2,Delhi
2011-05-05,38.5,35,15.6,Delhi
2011-05-06,38.0,50,18.6,Delhi
2011-05-07,36.3,49,17.6,Delhi
2011-05-08,38.5,36,15.8,Delhi
2011-05-09,40.5,29,14.7,Delhi
2011-05-10,41.6,26,23.7,Delhi
2011-05-11,42.2,25,20.2,Delhi
2011-05-12,42.1,26,19.0,Delhi
2011-05-13,40.0,32,16.8,Delhi
2011-05-14,40.5,30,11.2,Delhi
2011-05-15,41.9,26,10.3,Delhi
2011-05-16,42.2,27,9.2,Delhi
2011-05-17,43.1,26,14.4,Delhi
2011-05-18,42.5,25,12.3,Delhi
2011-05-19,42.8,41,20.2,Delhi
2011-05-20,38.5,57,21.1,Delhi
2011-05-21,36.5,58,16.7,Delhi
2011-05-22,34.2,62,13.2,Delhi
2011-05-23,38.0,56,20.6,Delhi
2011-05-24,40.1,44,19.3,Delhi
2011-05-25,41.1,43,16.6,Delhi
2011-05-26,39.6,52,14.5,Delhi
2011-05-27,37.2,56,12.0,Delhi
2011-05-28,38.6,50,17.4,Delhi
2011-05-29,40.1,41,10.3,Delhi
2011-05-30,40.4,48,12.4,Delhi
2011-05-31,39.9,49,19.5,Delhi
2011-06-01,36.5,56,22.7,Delhi
2011-06-02,35.3,57,22.2,Delhi
2011-06-03,38.3,51,14.3,Delhi
2011-06-04,39.0,39,14.0,Delhi
2011-06-05,40.9,39,10.9,Delhi
2011-06-06,42.2,37,13.9,Delhi
2011-06-07,41.9,38,22.2,Delhi
2011-06-08,39.2,49,23.1,Delhi
2011-06-09,38.4,53,19.1,Delhi
2011-06-10,37.9,55,14.9,Delhi
2011-06-11,40.8,47,14.8,Delhi
2011-06-12,40.1,50,15.6,Delhi
2011-06-13,40.2,49,14.8,Delhi
2011-06-14,41.0,44,15.3,Delhi
2011-06-15,35.9,61,14.1,Delhi
2011-06-16,38.5,58,15.5,Delhi
2011-06-17,37.8,57,11.8,Delhi
2011-06-18,36.7,65,11.1,Delhi
2011-06-19,37.3,64,13.8,Delhi
2011-06-20,36.1,63,13.2,Delhi
2011-06-21,36.2,68,11.5,Delhi
2011-06-22,37.0,61,11.8,Delhi
2011-06-23,36.7,61,17.9,Delhi
2011-06-24,37.0,59,10.6,Delhi
2011-06-25,35.8,71,12.2,Delhi
2011-06-26,31.5,82,9.7,Delhi
2011-06-27,30.5,83,7.7,Delhi
2011-06-28,32.1,83,15.9,Delhi
2011-06-29,29.8,84,16.5,Delhi
2011-06-30,33.3,81,12.9,Delhi
2011-07-01,33.7,75,22.4,Delhi
2011-07-02,34.9,68,23.7,Delhi
2011-07-03,36.4,61,16.6,Delhi
2011-07-04,36.5,62,14.5,Delhi
2011-07-05,35.9,67,14.2,Delhi
2011-07-06,32.3,77,14.1,Delhi
2011-07-07,32.6,81,14.1,Delhi
2011-07-08,32.8,83,15.7,Delhi
2011-07-09,32.3,84,11.8,Delhi
2011-07-10,31.1,85,9.4,Delhi
2011-07-11,32.5,81,7.0,Delhi
2011-07-12,33.8,81,10.5,Delhi
2011-07-13,31.5,83,13.5,Delhi
2011-07-14,32.7,85,13.1,Delhi
2011-07-15,30.0,88,13.0,Delhi
2011-07-16,31.0,85,11.9,Delhi
2011-07-17,29.7,88,18.3,Delhi
2011-07-18,30.3,87,12.4,Delhi
2011-07-19,32.9,81,7.9,Delhi
2011-07-20,33.9,80,16.0,Delhi
2011-07-21,30.1,86,14.7,Delhi
2011-07-22,32.8,79,8.4,Delhi
2011-07-23,31.3,82,13.4,Delhi
2011-07-24,31.1,77,18.0,Delhi
2011-07-25,31.5,79,19.1,Delhi
2011-07-26,33.8,79,8.7,Delhi
2011-07-27,31.6,85,11.4,Delhi
2011-07-28,31.9,88,12.6,Delhi
2011-07-29,31.6,89,8.2,Delhi
2011-07-30,32.8,85,7.9,Delhi
2011-07-31,34.2,82,11.6,Delhi
2011-08-01,33.1,81,11.9,Delhi
2011-08-02,34.6,74,12.7,Delhi
2011-08-03,33.1,80,10.9,Delhi
2011-08-04,32.6,83,10.2,Delhi
2011-08-05,33.0,84,13.8,Delhi
2011-08-06,31.0,90,6.6,Delhi
2011-08-07,32.5,85,12.4,Delhi
2011-08-08,31.7,83,19.1,Delhi
2011-08-09,31.6,74,28.7,Delhi
2011-08-10,30.2,83,24.3,Delhi
2011-08-11,30.5,88,14.6,Delhi
2011-08-12,28.3,90,18.9,Delhi
2011-08-13,31.6,85,16.0,Delhi
2011-08-14,29.4,85,22.6,Delhi
2011-08-15,28.7,92,20.8,Delhi
2011-08-16,28.8,90,16.3,Delhi
2011-08-17,31.3,84,18.1,Delhi
2011-08-18,31.6,85,14.1,Delhi
2011-08-19,30.6,87,13.2,Delhi
2011-08-20,29.8,86,20.6,Delhi
2011-08-21,32.3,79,9.0,Delhi
2011-08-22,33.2,79,6.6,Delhi
2011-08-23,31.9,89,11.8,Delhi
2011-08-24,29.6,88,12.8,Delhi
2011-08-25,32.0,86,8.6,Delhi
2011-08-26,31.8,85,7.2,Delhi
2011-08-27,31.4,86,11.9,Delhi
2011-08-28,32.7,80,12.6,Delhi
2011-08-29,33.1,79,13.6,Delhi
2011-08-30,32.6,78,14.0,Delhi
2011-08-31,33.1,79,11.6,Delhi
2011-09-01,33.0,79,12.7,Delhi
2011-09-02,32.7,76,11.2,Delhi
2011-09-03,31.7,77,25.8,Delhi
