date,temperature,humidity,wind,precipitation,snowfall,city
2011-04-11,31.7,68,32.2,2.1,0.0,Dubai
2011-04-12,35.2,65,26.7,0.1,0.0,Dubai
2011-04-13,36.3,56,28.0,0.1,0.0,Dubai
2011-04-14,33.4,47,27.3,0.0,0.0,Dubai
2011-04-15,33.0,53,37.2,0.0,0.0,Dubai
2011-04-16,30.9,62,19.2,0.0,0.0,Dubai
2011-04-17,29.9,61,22.0,0.0,0.0,Dubai
2011-04-18,30.3,61,22.3,0.0,0.0,Dubai
2011-04-19,33.7,63,17.6,0.0,0.0,Dubai
2011-04-20,38.3,48,26.7,0.0,0.0,Dubai
2011-04-21,38.2,29,22.7,0.0,0.0,Dubai
2011-04-22,38.7,18,29.5,0.0,0.0,Dubai
2011-04-23,38.4,26,25.2,0.0,0.0,Dubai
2011-04-24,37.5,34,20.9,0.0,0.0,Dubai
2011-04-25,37.8,29,20.4,0.0,0.0,Dubai
2011-04-26,37.7,40,22.6,0.0,0.0,Dubai
2011-04-27,37.0,43,27.3,0.0,0.0,Dubai
2011-04-28,33.9,55,25.9,0.0,0.0,Dubai
2011-04-29,33.5,59,16.1,0.0,0.0,Dubai
2011-04-30,36.8,53,21.7,0.0,0.0,Dubai
2011-05-01,38.2,39,19.3,0.0,0.0,Dubai
2011-05-02,37.8,40,23.5,0.0,0.0,Dubai
2011-05-03,32.3,44,32.7,0.0,0.0,Dubai
2011-05-04,35.2,36,35.6,0.0,0.0,Dubai
2011-05-05,37.0,32,24.4,0.0,0.0,Dubai
2011-05-06,34.3,57,17.9,0.0,0.0,Dubai
2011-05-07,37.5,61,21.3,0.0,0.0,Dubai
2011-05-08,37.5,57,21.4,0.0,0.0,Dubai
2011-05-09,41.0,35,23.7,0.0,0.0,Dubai
2011-05-10,42.0,35,23.2,0.0,0.0,Dubai
2011-05-11,39.6,43,23.5,0.0,0.0,Dubai
2011-05-12,41.0,39,21.5,0.0,0.0,Dubai
2011-05-13,42.4,33,26.1,0.0,0.0,Dubai
2011-05-14,43.0,25,28.9,0.0,0.0,Dubai
2011-05-15,41.0,31,36.0,0.0,0.0,Dubai
2011-05-16,40.5,43,32.3,0.0,0.0,Dubai
2011-05-17,39.7,51,22.7,0.0,0.0,Dubai
2011-05-18,39.4,47,30.0,0.0,0.0,Dubai
2011-05-19,41.0,53,19.5,0.0,0.0,Dubai
2011-05-20,43.5,51,18.3,0.0,0.0,Dubai
2011-05-21,42.3,59,19.8,0.0,0.0,Dubai
2011-05-22,40.7,62,21.7,0.0,0.0,Dubai
2011-05-23,38.1,50,28.9,0.0,0.0,Dubai
2011-05-24,38.5,45,28.9,0.0,0.0,Dubai
2011-05-25,38.4,42,30.3,0.0,0.0,Dubai
2011-05-26,37.3,53,22.4,0.0,0.0,Dubai
2011-05-27,38.9,59,23.7,0.0,0.0,Dubai
2011-05-28,39.5,59,20.6,0.0,0.0,Dubai
2011-05-29,39.7,56,21.0,0.0,0.0,Dubai
2011-05-30,40.7,49,23.9,0.0,0.0,Dubai
2011-05-31,40.6,54,23.7,0.0,0.0,Dubai
2011-06-01,42.6,53,23.2,0.0,0.0,Dubai
2011-06-02,44.3,47,20.6,0.0,0.0,Dubai
2011-06-03,44.8,32,22.7,0.0,0.0,Dubai
2011-06-04,42.8,38,33.2,0.0,0.0,Dubai
2011-06-05,42.0,53,25.8,0.0,0.0,Dubai
2011-06-06,41.7,59,17.3,0.0,0.0,Dubai
2011-06-07,44.3,59,18.4,0.0,0.0,Dubai
2011-06-08,44.0,57,21.0,0.0,0.0,Dubai
2011-06-09,45.0,59,20.7,0.0,0.0,Dubai
2011-06-10,44.0,49,32.3,0.0,0.0,Dubai
2011-06-11,39.0,40,35.2,0.0,0.0,Dubai
2011-06-12,39.4,49,33.0,0.0,0.0,Dubai
2011-06-13,40.5,54,23.6,0.0,0.0,Dubai
2011-06-14,40.3,60,25.7,0.0,0.0,Dubai
2011-06-15,39.5,58,21.0,0.0,0.0,Dubai
2011-06-16,40.2,63,18.4,0.0,0.0,Dubai
2011-06-17,42.3,62,23.1,0.0,0.0,Dubai
2011-06-18,39.7,63,19.8,0.0,0.0,Dubai
2011-06-19,41.3,64,18.2,0.0,0.0,Dubai
2011-06-20,41.3,66,20.8,0.0,0.0,Dubai
2011-06-21,42.0,63,22.0,0.0,0.0,Dubai
2011-06-22,41.0,64,21.9,0.0,0.0,Dubai
2011-06-23,39.4,58,18.7,0.0,0.0,Dubai
2011-06-24,42.5,40,20.6,0.0,0.0,Dubai
2011-06-25,42.5,40,22.2,0.0,0.0,Dubai
2011-06-26,42.0,42,24.8,0.0,0.0,Dubai
2011-06-27,41.4,46,22.0,0.0,0.0,Dubai
2011-06-28,40.2,55,24.8,0.0,0.0,Dubai
2011-06-29,40.0,46,32.0,0.0,0.0,Dubai
2011-06-30,39.2,48,26.3,0.0,0.0,Dubai
2011-07-01,38.1,58,23.1,0.0,0.0,Dubai
