date,temperature,humidity,wind,precipitation,snowfall,city
2011-04-11,38.1,35,12.9,0.0,0.0,Gandhinagar
2011-04-12,38.2,35,14.8,0.0,0.0,Gandhinagar
2011-04-13,38.1,35,13.2,0.0,0.0,Gandhinagar
2011-04-14,38.4,34,11.2,0.0,0.0,Gandhinagar
2011-04-15,38.9,32,9.0,0.0,0.0,Gandhinagar
2011-04-16,38.7,38,11.3,0.0,0.0,Gandhinagar
2011-04-17,38.6,38,19.5,0.0,0.0,Gandhinagar
2011-04-18,38.0,27,13.8,0.0,0.0,Gandhinagar
2011-04-19,38.4,22,10.0,0.0,0.0,Gandhinagar
2011-04-20,38.6,20,9.0,0.0,0.0,Gandhinagar
2011-04-21,39.4,23,10.1,0.0,0.0,Gandhinagar
2011-04-22,40.2,21,12.3,0.0,0.0,Gandhinagar
2011-04-23,40.5,17,10.1,0.0,0.0,Gandhinagar
2011-04-24,40.5,20,10.8,0.0,0.0,Gandhinagar
2011-04-25,40.2,21,14.9,0.0,0.0,Gandhinagar
2011-04-26,40.5,26,17.5,0.0,0.0,Gandhinagar
2011-04-27,41.1,27,15.8,0.0,0.0,Gandhinagar
2011-04-28,40.7,29,17.3,0.0,0.0,Gandhinagar
2011-04-29,39.4,37,18.9,0.0,0.0,Gandhinagar
2011-04-30,39.0,42,21.4,0.0,0.0,Gandhinagar
2011-05-01,39.3,37,16.7,0.0,0.0,Gandhinagar
2011-05-02,39.3,39,19.1,0.0,0.0,Gandhinagar
2011-05-03,38.1,44,16.2,0.0,0.0,Gandhinagar
2011-05-04,37.3,53,15.9,0.0,0.0,Gandhinagar
2011-05-05,37.3,56,19.8,0.0,0.0,Gandhinagar
2011-05-06,37.4,45,16.0,0.0,0.0,Gandhinagar
2011-05-07,38.0,49,15.2,0.0,0.0,Gandhinagar
2011-05-08,40.0,47,15.4,0.0,0.0,Gandhinagar
2011-05-09,40.5,42,15.7,0.0,0.0,Gandhinagar
2011-05-10,39.3,48,16.6,0.0,0.0,Gandhinagar
2011-05-11,39.7,48,17.3,0.0,0.0,Gandhinagar
2011-05-12,39.2,52,16.1,0.0,0.0,Gandhinagar
2011-05-13,39.4,49,14.0,0.0,0.0,Gandhinagar
2011-05-14,39.8,46,16.8,0.0,0.0,Gandhinagar
2011-05-15,40.2,43,14.0,0.0,0.0,Gandhinagar
2011-05-16,39.8,45,15.5,0.0,0.0,Gandhinagar
2011-05-17,40.9,46,13.0,0.0,0.0,Gandhinagar
2011-05-18,40.6,47,16.0,0.0,0.0,Gandhinagar
2011-05-19,40.8,51,20.1,0.0,0.0,Gandhinagar
2011-05-20,40.9,48,24.1,0.0,0.0,Gandhinagar
2011-05-21,39.6,53,26.3,0.0,0.0,Gandhinagar
2011-05-22,39.1,55,23.0,0.0,0.0,Gandhinagar
2011-05-23,39.3,54,19.7,0.0,0.0,Gandhinagar
2011-05-24,38.9,53,16.0,0.0,0.0,Gandhinagar
2011-05-25,39.1,53,15.9,0.0,0.0,Gandhinagar
2011-05-26,39.2,49,15.0,0.0,0.0,Gandhinagar
2011-05-27,39.9,45,13.6,0.0,0.0,Gandhinagar
2011-05-28,39.7,44,15.6,0.0,0.0,Gandhinagar
2011-05-29,40.1,45,17.3,0.0,0.0,Gandhinagar
2011-05-30,40.3,47,18.2,0.0,0.0,Gandhinagar
2011-05-31,40.3,53,21.0,0.0,0.0,Gandhinagar
2011-06-01,39.4,53,22.1,0.0,0.0,Gandhinagar
2011-06-02,39.2,48,13.7,0.0,0.0,Gandhinagar
2011-06-03,40.0,52,13.0,1.8,0.0,Gandhinagar
2011-06-04,40.0,48,13.7,0.3,0.0,Gandhinagar
2011-06-05,41.8,45,19.9,0.0,0.0,Gandhinagar
2011-06-06,41.8,47,14.7,0.0,0.0,Gandhinagar
2011-06-07,41.5,52,23.0,0.0,0.0,Gandhinagar
2011-06-08,39.5,58,20.8,0.0,0.0,Gandhinagar
2011-06-09,39.1,57,22.8,0.0,0.0,Gandhinagar
2011-06-10,38.5,56,20.3,0.0,0.0,Gandhinagar
2011-06-11,38.6,63,23.0,0.0,0.0,Gandhinagar
2011-06-12,36.9,63,21.8,0.0,0.0,Gandhinagar
2011-06-13,36.2,63,20.8,0.0,0.0,Gandhinagar
2011-06-14,37.8,56,20.4,0.0,0.0,Gandhinagar
