date,temperature,humidity,wind,city
2011-04-08,31.7,76,16.3,Goa
2011-04-09,33.1,77,16.5,Goa
2011-04-10,32.3,80,14.0,Goa
2011-04-11,34.6,77,18.0,Goa
2011-04-12,32.7,80,14.9,Goa
2011-04-13,33.2,78,15.8,Goa
2011-04-14,31.1,83,13.2,Goa
2011-04-15,31.9,77,14.8,Goa
2011-04-16,33.7,74,17.1,Goa
2011-04-17,33.5,79,15.3,Goa
2011-04-18,34.0,78,17.0,Goa
2011-04-19,32.6,78,17.1,Goa
2011-04-20,33.3,78,15.8,Goa
2011-04-21,32.4,77,15.9,Goa
2011-04-22,32.4,74,16.5,Goa
2011-04-23,33.3,75,17.4,Goa
2011-04-24,32.3,76,14.9,Goa
2011-04-25,31.6,78,15.8,Goa
2011-04-26,34.4,74,19.9,Goa
2011-04-27,33.7,76,17.7,Goa
2011-04-28,32.3,77,18.5,Goa
2011-04-29,32.7,77,22.2,Goa
2011-04-30,33.9,75,19.4,Goa
2011-05-01,33.2,75,18.8,Goa
2011-05-02,32.3,75,17.5,Goa
2011-05-03,32.8,74,21.1,Goa
2011-05-04,32.5,72,21.1,Goa
2011-05-05,33.5,71,23.2,Goa
2011-05-06,32.5,73,19.5,Goa
2011-05-07,32.1,72,19.1,Goa
2011-05-08,31.6,72,20.1,Goa
2011-05-09,32.4,73,16.7,Goa
2011-05-10,32.3,75,18.6,Goa
2011-05-11,32.7,72,16.6,Goa
2011-05-12,32.8,71,18.3,Goa
2011-05-13,32.5,71,19.5,Goa
2011-05-14,33.1,72,19.9,Goa
2011-05-15,32.1,76,16.9,Goa
2011-05-16,34.9,77,18.6,Goa
2011-05-17,33.8,79,21.0,Goa
2011-05-18,32.0,74,13.8,Goa
2011-05-19,31.0,77,17.9,Goa
2011-05-20,31.6,73,16.8,Goa
2011-05-21,32.3,75,15.3,Goa
2011-05-22,32.3,76,15.6,Goa
2011-05-23,32.4,79,16.0,Goa
2011-05-24,33.4,78,18.5,Goa
2011-05-25,34.2,75,24.2,Goa
2011-05-26,34.5,73,20.5,Goa
2011-05-27,32.4,79,16.9,Goa
2011-05-28,32.3,75,19.9,Goa
2011-05-29,32.6,77,18.8,Goa
2011-05-30,33.3,76,21.1,Goa
2011-05-31,30.5,83,12.8,Goa
2011-06-01,30.7,88,15.0,Goa
2011-06-02,28.9,89,13.4,Goa
2011-06-03,26.5,94,20.5,Goa
2011-06-04,26.0,95,25.5,Goa
2011-06-05,27.4,92,20.2,Goa
2011-06-06,26.8,93,19.9,Goa
2011-06-07,27.2,94,19.0,Goa
2011-06-08,26.7,94,22.9,Goa
2011-06-09,26.9,94,25.2,Goa
2011-06-10,26.7,95,24.2,Goa
2011-06-11,26.6,94,21.1,Goa
2011-06-12,26.3,94,19.0,Goa
2011-06-13,26.9,94,19.5,Goa
2011-06-14,25.7,96,16.8,Goa
2011-06-15,24.8,96,17.4,Goa
2011-06-16,25.0,96,24.2,Goa
2011-06-17,25.6,95,23.8,Goa
2011-06-18,29.0,90,23.8,Goa
2011-06-19,28.3,90,22.1,Goa
2011-06-20,27.7,90,22.7,Goa
2011-06-21,27.3,91,15.4,Goa
2011-06-22,25.6,94,19.2,Goa
2011-06-23,27.1,92,16.6,Goa
2011-06-24,27.4,91,19.1,Goa
