date,temperature,humidity,wind,precipitation,snowfall,city
2011-04-11,31.0,70,10.9,0.0,0.0,Guwahati
2011-04-12,31.0,70,8.9,1.8,0.0,Guwahati
2011-04-13,31.1,73,8.6,3.9,0.0,Guwahati
2011-04-14,30.0,77,9.3,12.2,0.0,Guwahati
2011-04-15,29.7,82,8.4,5.8,0.0,Guwahati
2011-04-16,29.4,82,10.4,4.8,0.0,Guwahati
2011-04-17,31.0,76,8.0,0.3,0.0,Guwahati
2011-04-18,31.1,77,12.3,2.2,0.0,Guwahati
2011-04-19,30.4,84,12.0,4.0,0.0,Guwahati
2011-04-20,28.5,85,13.4,3.4,0.0,Guwahati
2011-04-21,31.5,75,20.6,0.3,0.0,Guwahati
2011-04-22,32.9,69,17.7,0.0,0.0,Guwahati
2011-04-23,32.0,67,13.7,6.9,0.0,Guwahati
2011-04-24,29.8,78,14.0,15.6,0.0,Guwahati
2011-04-25,28.3,79,10.2,13.7,0.0,Guwahati
2011-04-26,31.6,69,11.4,0.0,0.0,Guwahati
2011-04-27,31.3,70,8.7,2.2,0.0,Guwahati
2011-04-28,30.1,77,15.8,8.9,0.0,Guwahati
2011-04-29,30.6,77,11.2,2.9,0.0,Guwahati
2011-04-30,31.3,75,10.9,5.2,0.0,Guwahati
2011-05-01,29.4,82,12.3,12.3,0.0,Guwahati
2011-05-02,28.3,88,11.6,17.3,0.0,Guwahati
2011-05-03,26.3,87,12.9,22.9,0.0,Guwahati
2011-05-04,26.7,85,14.1,11.8,0.0,Guwahati
2011-05-05,31.3,76,12.0,0.1,0.0,Guwahati
2011-05-06,31.4,78,7.6,1.4,0.0,Guwahati
2011-05-07,31.3,82,9.7,4.9,0.0,Guwahati
2011-05-08,29.2,85,13.9,2.7,0.0,Guwahati
2011-05-09,31.0,80,12.0,0.6,0.0,Guwahati
2011-05-10,31.1,82,9.7,18.2,0.0,Guwahati
2011-05-11,30.0,87,10.5,19.1,0.0,Guwahati
2011-05-12,30.6,86,9.0,19.0,0.0,Guwahati
2011-05-13,29.8,89,8.0,8.5,0.0,Guwahati
2011-05-14,30.7,87,7.7,9.3,0.0,Guwahati
2011-05-15,28.0,89,9.7,4.2,0.0,Guwahati
2011-05-16,29.6,87,10.7,2.6,0.0,Guwahati
2011-05-17,31.7,81,8.4,2.9,0.0,Guwahati
2011-05-18,31.3,83,10.1,16.7,0.0,Guwahati
2011-05-19,29.4,88,11.2,29.3,0.0,Guwahati
