date,temperature,humidity,wind,city
2011-04-08,35.0,23,21.0,Kashmir
2011-04-09,37.3,22,11.5,Kashmir
2011-04-10,38.3,20,25.0,Kashmir
2011-04-11,34.6,36,21.7,Kashmir
2011-04-12,33.2,44,19.5,Kashmir
2011-04-13,35.0,33,17.3,Kashmir
2011-04-14,36.5,26,14.5,Kashmir
2011-04-15,37.7,24,13.7,Kashmir
2011-04-16,39.0,28,28.5,Kashmir
2011-04-17,33.5,47,24.9,Kashmir
2011-04-18,36.0,30,20.6,Kashmir
2011-04-19,36.5,17,21.6,Kashmir
2011-04-20,36.8,15,17.3,Kashmir
2011-04-21,37.4,12,16.3,Kashmir
2011-04-22,38.5,10,14.8,Kashmir
2011-04-23,39.5,12,11.4,Kashmir
2011-04-24,41.3,11,25.6,Kashmir
2011-04-25,41.3,11,26.0,Kashmir
2011-04-26,41.5,13,23.1,Kashmir
2011-04-27,41.0,17,21.4,Kashmir
2011-04-28,40.2,23,23.5,Kashmir
2011-04-29,38.9,35,32.1,Kashmir
2011-04-30,39.1,35,22.1,Kashmir
2011-05-01,38.8,32,23.9,Kashmir
2011-05-02,39.7,35,27.4,Kashmir
2011-05-03,38.8,41,28.2,Kashmir
2011-05-04,38.5,45,30.2,Kashmir
2011-05-05,39.8,38,27.6,Kashmir
2011-05-06,37.0,39,22.7,Kashmir
2011-05-07,40.1,25,14.1,Kashmir
2011-05-08,41.7,20,23.1,Kashmir
2011-05-09,41.7,29,27.6,Kashmir
2011-05-10,40.3,44,29.6,Kashmir
2011-05-11,40.2,47,29.3,Kashmir
2011-05-12,40.4,43,28.5,Kashmir
2011-05-13,40.0,45,25.0,Kashmir
2011-05-14,40.3,43,20.9,Kashmir
2011-05-15,41.1,34,20.2,Kashmir
2011-05-16,41.2,31,16.3,Kashmir
2011-05-17,41.8,33,16.5,Kashmir
2011-05-18,42.3,33,24.4,Kashmir
2011-05-19,41.9,43,32.1,Kashmir
2011-05-20,40.8,50,35.6,Kashmir
2011-05-21,39.9,50,35.5,Kashmir
2011-05-22,40.0,51,37.1,Kashmir
