date,temperature,humidity,wind,precipitation,snowfall,city
2011-04-11,20.7,69,24.1,0.0,0.0,Long Beach
2011-04-12,18.9,79,16.6,0.0,0.0,Long Beach
2011-04-13,17.4,72,18.6,0.1,0.0,Long Beach
2011-04-14,23.8,56,22.0,0.0,0.0,Long Beach
2011-04-15,27.3,53,22.1,0.0,0.0,Long Beach
2011-04-16,28.4,57,19.0,0.0,0.0,Long Beach
2011-04-17,22.3,75,17.4,0.0,0.0,Long Beach
2011-04-18,18.5,80,14.4,0.0,0.0,Long Beach
2011-04-19,19.4,77,13.2,0.0,0.0,Long Beach
2011-04-20,19.3,74,18.6,0.1,0.0,Long Beach
2011-04-21,19.1,77,18.3,0.0,0.0,Long Beach
2011-04-22,19.3,75,18.9,0.0,0.0,Long Beach
2011-04-23,19.1,71,19.2,0.0,0.0,Long Beach
2011-04-24,17.3,75,23.4,0.4,0.0,Long Beach
2011-04-25,22.2,71,24.5,0.0,0.0,Long Beach
2011-04-26,24.0,62,23.0,0.0,0.0,Long Beach
2011-04-27,26.1,56,20.6,0.0,0.0,Long Beach
2011-04-28,24.9,63,24.9,0.0,0.0,Long Beach
2011-04-29,21.1,67,20.8,0.0,0.0,Long Beach
2011-04-30,25.3,42,17.0,0.0,0.0,Long Beach
2011-05-01,26.6,28,25.2,0.0,0.0,Long Beach
2011-05-02,28.2,32,25.9,0.0,0.0,Long Beach
2011-05-03,30.2,33,19.6,0.0,0.0,Long Beach
2011-05-04,28.5,52,16.8,0.0,0.0,Long Beach
2011-05-05,25.7,68,17.8,0.0,0.0,Long Beach
2011-05-06,21.3,73,17.8,0.0,0.0,Long Beach
2011-05-07,19.5,74,14.5,0.0,0.0,Long Beach
2011-05-08,17.5,70,25.6,0.0,0.0,Long Beach
2011-05-09,16.8,68,19.1,0.0,0.0,Long Beach
2011-05-10,19.1,67,21.4,0.0,0.0,Long Beach
2011-05-11,20.8,71,18.0,0.0,0.0,Long Beach
2011-05-12,23.6,70,19.7,0.0,0.0,Long Beach
2011-05-13,21.9,77,16.5,0.0,0.0,Long Beach
2011-05-14,19.6,69,14.8,0.0,0.0,Long Beach
2011-05-15,17.8,58,28.9,1.0,0.0,Long Beach
2011-05-16,17.5,60,22.8,0.0,0.0,Long Beach
2011-05-17,17.4,69,24.1,3.8,0.0,Long Beach
2011-05-18,17.7,68,29.9,2.7,0.0,Long Beach
2011-05-19,19.5,71,17.1,0.0,0.0,Long Beach
2011-05-20,20.5,72,15.5,0.0,0.0,Long Beach
2011-05-21,21.5,72,18.3,0.0,0.0,Long Beach
2011-05-22,20.7,73,17.7,0.0,0.0,Long Beach
2011-05-23,18.6,70,20.5,0.2,0.0,Long Beach
2011-05-24,20.5,69,18.7,0.0,0.0,Long Beach
2011-05-25,22.2,65,24.5,0.0,0.0,Long Beach
2011-05-26,21.3,69,20.5,0.0,0.0,Long Beach
2011-05-27,23.7,65,23.9,0.0,0.0,Long Beach
2011-05-28,21.7,71,21.5,0.0,0.0,Long Beach
2011-05-29,21.4,60,28.5,0.1,0.0,Long Beach
2011-05-30,21.8,58,22.3,0.0,0.0,Long Beach
2011-05-31,22.2,66,21.7,0.0,0.0,Long Beach
2011-06-01,20.8,68,24.9,0.0,0.0,Long Beach
2011-06-02,24.0,60,24.9,0.0,0.0,Long Beach
2011-06-03,21.5,69,20.0,0.0,0.0,Long Beach
2011-06-04,19.4,69,16.9,0.0,0.0,Long Beach
2011-06-05,20.7,70,17.2,0.8,0.0,Long Beach
2011-06-06,20.5,71,18.9,0.4,0.0,Long Beach
2011-06-07,20.4,75,16.4,0.0,0.0,Long Beach
2011-06-08,20.7,75,14.5,0.0,0.0,Long Beach
2011-06-09,20.3,73,17.8,0.0,0.0,Long Beach
2011-06-10,20.2,76,16.0,0.0,0.0,Long Beach
2011-06-11,20.6,73,15.6,0.0,0.0,Long Beach
2011-06-12,21.4,71,12.8,0.0,0.0,Long Beach
2011-06-13,21.9,72,15.1,0.0,0.0,Long Beach
2011-06-14,23.3,75,16.6,0.0,0.0,Long Beach
2011-06-15,21.5,77,16.3,0.0,0.0,Long Beach
2011-06-16,20.7,75,13.4,0.0,0.0,Long Beach
2011-06-17,20.6,72,15.9,0.0,0.0,Long Beach
2011-06-18,22.6,71,17.4,0.0,0.0,Long Beach
2011-06-19,20.9,73,12.7,0.0,0.0,Long Beach
2011-06-20,24.9,72,16.1,0.0,0.0,Long Beach
2011-06-21,26.0,73,18.7,0.0,0.0,Long Beach
2011-06-22,24.2,76,16.9,0.0,0.0,Long Beach
2011-06-23,23.2,75,14.5,0.0,0.0,Long Beach
2011-06-24,23.2,73,12.6,0.0,0.0,Long Beach
2011-06-25,24.2,71,17.4,0.0,0.0,Long Beach
2011-06-26,24.9,71,16.0,0.0,0.0,Long Beach
2011-06-27,26.2,73,16.6,0.0,0.0,Long Beach
2011-06-28,23.4,75,15.6,0.0,0.0,Long Beach
2011-06-29,24.0,71,21.3,0.0,0.0,Long Beach
2011-06-30,25.7,66,17.9,0.0,0.0,Long Beach
2011-07-01,29.0,66,18.3,0.0,0.0,Long Beach
2011-07-02,28.8,70,16.1,0.0,0.0,Long Beach
2011-07-03,28.2,72,17.8,0.0,0.0,Long Beach
2011-07-04,27.7,68,17.3,0.0,0.0,Long Beach
2011-07-05,29.2,62,18.7,0.0,0.0,Long Beach
2011-07-06,28.2,70,22.5,0.0,0.0,Long Beach
2011-07-07,28.3,67,22.4,0.1,0.0,Long Beach
2011-07-08,26.5,71,18.1,0.0,0.0,Long Beach
2011-07-09,25.5,74,17.3,0.0,0.0,Long Beach
2011-07-10,24.3,75,13.0,0.0,0.0,Long Beach
