date,temperature,humidity,wind,city
2011-04-11,28.4,72,15.8,Miami
2011-04-12,30.1,65,19.7,Miami
2011-04-13,28.4,65,16.3,Miami
2011-04-14,27.2,72,14.1,Miami
2011-04-15,28.5,69,20.7,Miami
2011-04-16,28.4,68,19.4,Miami
2011-04-17,28.8,74,19.1,Miami
2011-04-18,28.4,70,14.8,Miami
2011-04-19,28.3,69,20.2,Miami
2011-04-20,28.5,65,20.9,Miami
2011-04-21,27.8,64,24.8,Miami
2011-04-22,27.4,61,21.8,Miami
2011-04-23,27.9,65,22.6,Miami
2011-04-24,27.8,69,19.9,Miami
2011-04-25,27.8,73,18.2,Miami
2011-04-26,28.9,76,21.9,Miami
2011-04-27,29.2,76,25.1,Miami
2011-04-28,29.5,75,19.3,Miami
2011-04-29,30.0,78,19.8,Miami
2011-04-30,26.7,84,17.4,Miami
2011-05-01,27.2,75,20.9,Miami
2011-05-02,27.6,74,24.3,Miami
2011-05-03,27.5,68,22.7,Miami
2011-05-04,28.1,67,18.7,Miami
2011-05-05,26.2,74,18.4,Miami
2011-05-06,26.7,76,15.3,Miami
2011-05-07,28.7,73,12.8,Miami
2011-05-08,29.2,72,18.6,Miami
2011-05-09,30.5,61,18.9,Miami
2011-05-10,29.4,68,19.9,Miami
2011-05-11,30.3,68,16.1,Miami
2011-05-12,29.5,75,20.5,Miami
2011-05-13,27.9,68,15.3,Miami
2011-05-14,28.7,69,23.1,Miami
2011-05-15,29.5,68,22.9,Miami
2011-05-16,30.1,57,23.1,Miami
2011-05-17,30.3,57,24.3,Miami
2011-05-18,28.2,64,14.3,Miami
2011-05-19,29.1,74,16.3,Miami
2011-05-20,29.5,72,16.4,Miami
2011-05-21,29.9,71,14.4,Miami
2011-05-22,29.8,70,19.6,Miami
2011-05-23,29.0,68,19.5,Miami
2011-05-24,28.9,62,19.8,Miami
2011-05-25,29.0,65,19.1,Miami
2011-05-26,29.0,67,17.2,Miami
2011-05-27,28.4,74,14.4,Miami
2011-05-28,28.0,77,19.0,Miami
2011-05-29,28.5,72,24.2,Miami
2011-05-30,28.4,69,21.5,Miami
2011-05-31,28.5,71,27.4,Miami
2011-06-01,28.7,62,20.8,Miami
2011-06-02,29.0,67,25.9,Miami
2011-06-03,28.9,69,24.8,Miami
2011-06-04,29.2,67,25.8,Miami
2011-06-05,29.0,71,22.2,Miami
2011-06-06,29.3,70,18.4,Miami
2011-06-07,29.6,69,28.4,Miami
2011-06-08,29.3,68,24.4,Miami
2011-06-09,28.5,69,25.3,Miami
2011-06-10,29.4,70,28.6,Miami
2011-06-11,31.0,72,17.0,Miami
2011-06-12,30.2,77,16.8,Miami
2011-06-13,31.5,76,16.1,Miami
2011-06-14,32.3,73,20.5,Miami
2011-06-15,31.9,73,15.0,Miami
2011-06-16,31.8,76,20.9,Miami
2011-06-17,31.6,74,19.8,Miami
2011-06-18,30.8,76,17.3,Miami
2011-06-19,31.1,79,18.0,Miami
2011-06-20,30.4,79,20.0,Miami
2011-06-21,30.4,78,15.1,Miami
2011-06-22,30.3,75,17.9,Miami
2011-06-23,29.5,78,18.2,Miami
2011-06-24,30.5,80,18.6,Miami
2011-06-25,29.3,81,18.0,Miami
2011-06-26,29.1,83,14.3,Miami
2011-06-27,29.8,78,14.8,Miami
2011-06-28,28.9,81,18.8,Miami
2011-06-29,28.8,77,16.3,Miami
2011-06-30,28.9,84,15.2,Miami
2011-07-01,28.8,82,13.2,Miami
2011-07-02,28.4,82,11.7,Miami
2011-07-03,28.3,80,14.9,Miami
2011-07-04,29.7,73,16.2,Miami
2011-07-05,29.7,77,19.6,Miami
2011-07-06,28.2,84,14.1,Miami
2011-07-07,27.5,86,22.5,Miami
2011-07-08,28.9,80,21.6,Miami
2011-07-09,29.1,82,16.6,Miami
2011-07-10,30.1,81,15.0,Miami
2011-07-11,30.0,79,15.2,Miami
2011-07-12,30.1,78,14.8,Miami
2011-07-13,30.5,78,14.9,Miami
2011-07-14,30.5,79,12.4,Miami
2011-07-15,30.7,76,13.8,Miami
2011-07-16,30.6,78,13.2,Miami
2011-07-17,30.7,83,16.2,Miami
2011-07-18,29.6,82,11.9,Miami
2011-07-19,29.9,82,9.2,Miami
2011-07-20,31.1,82,12.0,Miami
2011-07-21,30.2,80,15.9,Miami
2011-07-22,30.6,78,17.8,Miami
2011-07-23,31.1,75,13.8,Miami
2011-07-24,31.0,74,17.5,Miami
2011-07-25,30.5,77,15.3,Miami
2011-07-26,29.6,80,18.8,Miami
2011-07-27,30.6,70,19.4,Miami
2011-07-28,31.3,73,19.7,Miami
2011-07-29,31.2,72,19.7,Miami
2011-07-30,31.2,72,17.5,Miami
2011-07-31,31.2,70,14.5,Miami
2011-08-01,31.5,75,15.2,Miami
2011-08-02,31.3,76,14.2,Miami
