date,temperature,humidity,wind,city
2011-04-08,32.3,76,18.1,Mumbai
2011-04-09,31.7,78,20.4,Mumbai
2011-04-10,32.6,75,20.8,Mumbai
2011-04-11,32.1,75,18.6,Mumbai
2011-04-12,34.0,72,20.5,Mumbai
2011-04-13,33.4,75,20.4,Mumbai
2011-04-14,32.7,76,18.5,Mumbai
2011-04-15,31.1,80,15.9,Mumbai
2011-04-16,31.7,80,16.6,Mumbai
2011-04-17,32.4,78,19.8,Mumbai
2011-04-18,32.7,77,17.8,Mumbai
2011-04-19,32.7,75,19.3,Mumbai
2011-04-20,31.9,76,19.2,Mumbai
2011-04-21,32.3,77,18.4,Mumbai
2011-04-22,31.5,79,19.6,Mumbai
2011-04-23,32.4,75,18.0,Mumbai
2011-04-24,31.7,79,16.8,Mumbai
2011-04-25,32.7,71,19.4,Mumbai
2011-04-26,34.2,67,21.1,Mumbai
2011-04-27,33.7,74,20.3,Mumbai
2011-04-28,33.6,77,19.7,Mumbai
2011-04-29,32.6,76,22.3,Mumbai
2011-04-30,35.3,71,24.0,Mumbai
2011-05-01,33.4,76,20.5,Mumbai
2011-05-02,31.8,79,17.2,Mumbai
2011-05-03,32.0,75,19.2,Mumbai
2011-05-04,32.2,69,17.9,Mumbai
2011-05-05,32.0,71,18.2,Mumbai
2011-05-06,31.9,71,17.3,Mumbai
2011-05-07,31.4,70,17.7,Mumbai
2011-05-08,32.0,73,18.7,Mumbai
2011-05-09,31.5,73,17.9,Mumbai
2011-05-10,31.1,74,18.0,Mumbai
2011-05-11,31.9,74,17.5,Mumbai
2011-05-12,31.5,73,18.7,Mumbai
2011-05-13,32.0,73,18.4,Mumbai
2011-05-14,32.4,74,17.9,Mumbai
2011-05-15,32.2,77,18.4,Mumbai
2011-05-16,32.3,76,12.5,Mumbai
2011-05-17,33.7,76,19.5,Mumbai
2011-05-18,32.5,78,17.3,Mumbai
2011-05-19,31.6,76,20.9,Mumbai
2011-05-20,32.1,72,22.5,Mumbai
2011-05-21,32.4,73,26.5,Mumbai
2011-05-22,31.9,82,23.4,Mumbai
2011-05-23,31.5,81,17.7,Mumbai
2011-05-24,32.2,80,15.5,Mumbai
2011-05-25,32.6,76,16.7,Mumbai
2011-05-26,32.8,73,18.3,Mumbai
2011-05-27,33.0,73,18.2,Mumbai
2011-05-28,32.9,71,19.5,Mumbai
2011-05-29,33.5,72,22.8,Mumbai
2011-05-30,32.9,73,18.6,Mumbai
2011-05-31,32.9,74,16.3,Mumbai
2011-06-01,32.2,78,17.6,Mumbai
2011-06-02,32.2,82,17.6,Mumbai
2011-06-03,31.0,85,13.8,Mumbai
