date,temperature,humidity,wind,precipitation,snowfall,city
2011-04-11,5.2,74,35.1,3.2,0.7,Reykjavik
2011-04-12,6.6,87,30.6,5.9,0.28,Reykjavik
2011-04-13,6.8,96,31.3,17.8,0.0,Reykjavik
2011-04-14,6.8,81,38.6,10.7,2.45,Reykjavik
2011-04-15,3.9,75,32.4,6.2,3.57,Reykjavik
2011-04-16,5.0,80,22.7,3.6,0.07,Reykjavik
2011-04-17,4.6,71,21.9,4.1,0.63,Reykjavik
2011-04-18,2.5,87,21.8,7.9,4.83,Reykjavik
2011-04-19,4.6,79,30.8,4.7,0.91,Reykjavik
2011-04-20,5.4,86,25.5,5.5,0.0,Reykjavik
2011-04-21,8.0,80,41.3,5.9,0.14,Reykjavik
2011-04-22,8.0,83,41.3,9.8,0.0,Reykjavik
2011-04-23,5.5,73,34.9,5.6,1.05,Reykjavik
2011-04-24,4.8,79,43.0,7.5,1.26,Reykjavik
2011-04-25,5.5,79,30.6,5.3,2.17,Reykjavik
2011-04-26,8.0,85,39.3,6.4,0.0,Reykjavik
2011-04-27,8.2,81,39.7,12.1,0.77,Reykjavik
2011-04-28,7.5,86,45.2,14.1,0.63,Reykjavik
2011-04-29,7.7,71,25.8,3.5,0.0,Reykjavik
2011-04-30,3.5,100,6.9,23.0,8.68,Reykjavik
2011-05-01,3.4,96,7.3,8.4,4.48,Reykjavik
2011-05-02,12.6,79,24.3,4.5,0.0,Reykjavik
2011-05-03,13.7,77,15.3,0.0,0.0,Reykjavik
2011-05-04,9.0,87,7.8,0.6,0.0,Reykjavik
2011-05-05,10.8,73,10.5,0.0,0.0,Reykjavik
2011-05-06,12.0,65,22.5,1.3,0.0,Reykjavik
2011-05-07,12.6,75,10.1,0.4,0.0,Reykjavik
2011-05-08,14.1,74,19.1,0.1,0.0,Reykjavik
2011-05-09,15.1,78,22.3,8.8,0.0,Reykjavik
2011-05-10,14.9,79,17.8,13.8,0.0,Reykjavik
2011-05-11,13.2,78,11.1,3.4,0.0,Reykjavik
2011-05-12,8.7,72,17.6,0.0,0.0,Reykjavik
2011-05-13,8.3,78,14.9,1.4,0.0,Reykjavik
2011-05-14,8.4,83,14.8,4.4,0.0,Reykjavik
2011-05-15,7.8,79,14.0,2.3,0.0,Reykjavik
2011-05-16,7.1,80,18.9,3.7,0.14,Reykjavik
2011-05-17,8.5,67,23.9,1.2,0.0,Reykjavik
2011-05-18,12.0,68,12.5,1.9,0.0,Reykjavik
2011-05-19,8.6,66,26.2,4.6,0.0,Reykjavik
2011-05-20,7.2,55,26.3,0.0,0.0,Reykjavik
2011-05-21,8.5,56,22.5,0.0,0.0,Reykjavik
2011-05-22,9.2,56,19.2,0.1,0.0,Reykjavik
2011-05-23,5.6,63,33.2,0.0,0.0,Reykjavik
2011-05-24,7.2,58,32.4,0.0,0.0,Reykjavik
2011-05-25,9.4,56,18.6,0.0,0.0,Reykjavik
