date,temperature,humidity,wind,city
2011-04-11,33.4,45,8.9,Rishikesh
2011-04-12,30.2,49,14.0,Rishikesh
2011-04-13,31.0,57,10.1,Rishikesh
2011-04-14,31.4,55,10.8,Rishikesh
2011-04-15,32.7,52,9.8,Rishikesh
2011-04-16,33.4,47,11.3,Rishikesh
2011-04-17,27.0,62,18.7,Rishikesh
2011-04-18,30.5,68,14.2,Rishikesh
2011-04-19,30.5,57,10.0,Rishikesh
2011-04-20,31.2,48,12.1,Rishikesh
2011-04-21,32.1,40,12.6,Rishikesh
2011-04-22,32.8,39,10.2,Rishikesh
2011-04-23,34.5,38,8.5,Rishikesh
2011-04-24,35.7,38,14.8,Rishikesh
2011-04-25,36.8,38,10.0,Rishikesh
2011-04-26,33.7,44,17.7,Rishikesh
2011-04-27,32.6,53,7.2,Rishikesh
2011-04-28,34.7,53,12.6,Rishikesh
2011-04-29,37.6,43,17.2,Rishikesh
2011-04-30,38.1,33,14.3,Rishikesh
2011-05-01,38.1,31,16.3,Rishikesh
2011-05-02,37.2,34,13.5,Rishikesh
2011-05-03,37.3,38,14.5,Rishikesh
2011-05-04,37.5,35,11.6,Rishikesh
2011-05-05,35.6,42,10.7,Rishikesh
2011-05-06,33.7,60,12.4,Rishikesh
2011-05-07,33.2,61,11.1,Rishikesh
2011-05-08,34.2,53,12.0,Rishikesh
2011-05-09,36.5,45,12.6,Rishikesh
2011-05-10,38.8,34,23.6,Rishikesh
2011-05-11,38.9,31,16.5,Rishikesh
2011-05-12,39.3,31,12.6,Rishikesh
2011-05-13,37.8,32,13.4,Rishikesh
2011-05-14,38.2,36,13.0,Rishikesh
2011-05-15,38.8,33,12.5,Rishikesh
2011-05-16,39.9,36,15.6,Rishikesh
2011-05-17,39.8,35,13.0,Rishikesh
2011-05-18,38.5,44,11.9,Rishikesh
2011-05-19,35.9,55,12.8,Rishikesh
2011-05-20,33.7,61,14.9,Rishikesh
2011-05-21,33.9,63,10.4,Rishikesh
2011-05-22,30.0,77,9.7,Rishikesh
2011-05-23,32.2,66,12.6,Rishikesh
2011-05-24,35.7,56,14.1,Rishikesh
2011-05-25,36.5,54,11.6,Rishikesh
2011-05-26,35.4,62,12.0,Rishikesh
2011-05-27,34.0,67,13.1,Rishikesh
2011-05-28,34.8,61,12.6,Rishikesh
2011-05-29,34.7,63,10.5,Rishikesh
2011-05-30,33.1,68,10.0,Rishikesh
2011-05-31,33.0,70,8.7,Rishikesh
2011-06-01,32.3,68,10.2,Rishikesh
2011-06-02,33.0,67,13.0,Rishikesh
2011-06-03,35.5,50,13.1,Rishikesh
2011-06-04,35.5,47,10.4,Rishikesh
2011-06-05,36.5,52,10.4,Rishikesh
2011-06-06,36.7,57,11.1,Rishikesh
2011-06-07,36.5,58,11.5,Rishikesh
2011-06-08,35.6,59,10.1,Rishikesh
2011-06-09,35.0,64,10.2,Rishikesh
2011-06-10,31.8,69,9.4,Rishikesh
2011-06-11,33.8,67,9.7,Rishikesh
