date,temperature,humidity,wind,city
2011-04-11,7.3,60,16.1,Slovakia
2011-04-12,12.0,82,18.2,Slovakia
2011-04-13,3.6,74,19.1,Slovakia
2011-04-14,3.9,86,12.0,Slovakia
2011-04-15,6.0,74,12.8,Slovakia
2011-04-16,6.9,69,6.5,Slovakia
2011-04-17,8.0,65,6.9,Slovakia
2011-04-18,9.8,62,6.5,Slovakia
2011-04-19,12.8,66,9.3,Slovakia
2011-04-20,14.1,61,7.6,Slovakia
2011-04-21,14.7,49,8.7,Slovakia
2011-04-22,15.6,55,8.7,Slovakia
2011-04-23,14.5,57,11.1,Slovakia
2011-04-24,13.3,59,12.5,Slovakia
2011-04-25,9.9,80,12.7,Slovakia
2011-04-26,12.6,70,8.6,Slovakia
2011-04-27,14.1,55,15.7,Slovakia
2011-04-28,14.0,56,15.1,Slovakia
2011-04-29,14.4,59,11.8,Slovakia
2011-04-30,14.4,68,10.8,Slovakia
2011-05-01,11.7,85,7.9,Slovakia
2011-05-02,11.1,69,9.7,Slovakia
2011-05-03,11.6,81,12.2,Slovakia
2011-05-04,7.7,64,11.7,Slovakia
2011-05-05,6.1,58,15.5,Slovakia
2011-05-06,9.4,63,8.4,Slovakia
2011-05-07,10.2,63,18.7,Slovakia
2011-05-08,9.0,75,17.5,Slovakia
2011-05-09,13.7,66,12.9,Slovakia
2011-05-10,16.3,68,13.0,Slovakia
2011-05-11,17.0,61,8.7,Slovakia
2011-05-12,17.5,55,8.2,Slovakia
2011-05-13,12.6,67,16.6,Slovakia
2011-05-14,13.3,72,8.5,Slovakia
2011-05-15,10.1,92,11.2,Slovakia
2011-05-16,10.0,70,19.1,Slovakia
2011-05-17,14.0,68,7.5,Slovakia
2011-05-18,16.9,68,8.9,Slovakia
2011-05-19,17.8,63,8.9,Slovakia
2011-05-20,19.2,66,9.3,Slovakia
2011-05-21,19.0,74,7.4,Slovakia
2011-05-22,19.9,70,8.2,Slovakia
2011-05-23,19.0,69,7.4,Slovakia
2011-05-24,19.2,72,9.7,Slovakia
2011-05-25,16.2,64,12.6,Slovakia
2011-05-26,17.4,55,12.2,Slovakia
2011-05-27,18.2,61,17.8,Slovakia
2011-05-28,14.6,92,5.7,Slovakia
2011-05-29,15.1,75,8.0,Slovakia
2011-05-30,19.2,70,9.0,Slovakia
2011-05-31,20.4,68,15.3,Slovakia
2011-06-01,19.1,77,7.1,Slovakia
2011-06-02,18.3,84,13.3,Slovakia
2011-06-03,20.5,79,13.2,Slovakia
2011-06-04,20.5,77,7.7,Slovakia
2011-06-05,20.5,77,9.0,Slovakia
2011-06-06,17.6,89,10.5,Slovakia
2011-06-07,16.1,95,8.2,Slovakia
2011-06-08,17.5,91,9.2,Slovakia
2011-06-09,15.6,88,11.2,Slovakia
2011-06-10,12.9,74,16.9,Slovakia
2011-06-11,16.0,70,12.3,Slovakia
2011-06-12,16.4,65,13.2,Slovakia
2011-06-13,16.7,69,7.2,Slovakia
2011-06-14,16.0,78,7.4,Slovakia
2011-06-15,17.8,72,7.1,Slovakia
2011-06-16,19.0,75,9.2,Slovakia
2011-06-17,18.3,84,8.5,Slovakia
2011-06-18,17.4,91,10.6,Slovakia
2011-06-19,13.1,76,15.4,Slovakia
2011-06-20,12.7,74,15.8,Slovakia
2011-06-21,16.6,78,16.6,Slovakia
2011-06-22,21.4,76,12.4,Slovakia
2011-06-23,19.7,70,11.6,Slovakia
2011-06-24,16.5,71,13.2,Slovakia
2011-06-25,12.3,72,16.9,Slovakia
2011-06-26,12.0,74,13.1,Slovakia
2011-06-27,14.7,73,15.0,Slovakia
2011-06-28,16.1,71,23.8,Slovakia
2011-06-29,17.5,83,10.9,Slovakia
2011-06-30,16.7,90,8.4,Slovakia
2011-07-01,10.6,84,18.5,Slovakia
2011-07-02,10.4,86,11.7,Slovakia
2011-07-03,7.3,92,17.7,Slovakia
2011-07-04,13.5,81,13.0,Slovakia
2011-07-05,13.9,79,13.6,Slovakia
2011-07-06,14.2,82,15.3,Slovakia
2011-07-07,20.5,72,9.4,Slovakia
2011-07-08,21.1,77,15.2,Slovakia
2011-07-09,22.2,80,8.2,Slovakia
2011-07-10,24.4,78,8.4,Slovakia
2011-07-11,22.6,76,11.1,Slovakia
2011-07-12,20.6,73,6.8,Slovakia
2011-07-13,22.5,72,13.8,Slovakia
2011-07-14,25.1,66,13.0,Slovakia
2011-07-15,20.3,87,10.5,Slovakia
2011-07-16,18.4,74,8.1,Slovakia
2011-07-17,21.0,68,12.3,Slovakia
2011-07-18,20.7,74,13.4,Slovakia
2011-07-19,20.5,85,11.1,Slovakia
