date,temperature,humidity,wind,precipitation,snowfall,city
2011-04-11,35.1,62,12.8,0.0,0.0,Valsad
2011-04-12,36.8,59,12.5,0.0,0.0,Valsad
2011-04-13,36.7,58,14.5,0.0,0.0,Valsad
2011-04-14,36.4,60,14.8,0.0,0.0,Valsad
2011-04-15,34.9,67,12.2,0.1,0.0,Valsad
2011-04-16,35.6,70,11.5,0.0,0.0,Valsad
2011-04-17,36.1,66,13.3,0.0,0.0,Valsad
2011-04-18,35.8,59,13.0,0.0,0.0,Valsad
2011-04-19,37.0,59,14.0,0.0,0.0,Valsad
2011-04-20,36.1,61,14.1,0.0,0.0,Valsad
2011-04-21,35.7,64,12.8,0.0,0.0,Valsad
2011-04-22,35.7,65,13.8,0.0,0.0,Valsad
2011-04-23,37.1,59,14.7,0.0,0.0,Valsad
2011-04-24,36.1,61,13.6,0.0,0.0,Valsad
2011-04-25,36.3,60,14.9,0.0,0.0,Valsad
2011-04-26,36.2,54,14.3,0.0,0.0,Valsad
2011-04-27,36.8,59,15.3,0.0,0.0,Valsad
2011-04-28,36.6,60,14.0,0.0,0.0,Valsad
2011-04-29,35.7,64,14.5,0.0,0.0,Valsad
2011-04-30,36.8,60,15.5,0.0,0.0,Valsad
2011-05-01,36.5,66,13.6,0.0,0.0,Valsad
2011-05-02,35.9,65,13.1,0.0,0.0,Valsad
2011-05-03,34.0,69,14.8,0.0,0.0,Valsad
2011-05-04,32.6,68,14.4,0.0,0.0,Valsad
2011-05-05,33.3,69,16.3,0.0,0.0,Valsad
2011-05-06,34.1,65,13.0,0.0,0.0,Valsad
2011-05-07,33.1,69,15.6,0.0,0.0,Valsad
2011-05-08,33.3,71,12.9,0.7,0.0,Valsad
2011-05-09,33.2,69,15.2,0.0,0.0,Valsad
2011-05-10,33.2,69,16.3,0.0,0.0,Valsad
2011-05-11,33.9,67,14.8,0.0,0.0,Valsad
2011-05-12,33.3,69,15.5,0.0,0.0,Valsad
2011-05-13,34.3,66,14.4,0.0,0.0,Valsad
2011-05-14,34.5,69,13.6,0.0,0.0,Valsad
2011-05-15,34.6,71,14.1,0.0,0.0,Valsad
2011-05-16,32.4,75,8.7,0.0,0.0,Valsad
2011-05-17,36.6,69,10.8,0.0,0.0,Valsad
2011-05-18,35.0,68,13.4,0.0,0.0,Valsad
2011-05-19,34.1,69,17.4,0.0,0.0,Valsad
2011-05-20,33.9,68,23.6,0.0,0.0,Valsad
2011-05-21,33.8,68,25.9,0.0,0.0,Valsad
2011-05-22,33.8,71,22.2,0.5,0.0,Valsad
2011-05-23,33.3,75,16.7,0.3,0.0,Valsad
2011-05-24,34.2,71,15.5,0.0,0.0,Valsad
2011-05-25,34.3,72,14.6,0.0,0.0,Valsad
2011-05-26,33.8,71,11.5,0.0,0.0,Valsad
2011-05-27,34.7,71,13.7,0.0,0.0,Valsad
2011-05-28,34.6,68,14.6,0.0,0.0,Valsad
2011-05-29,34.6,69,14.9,0.0,0.0,Valsad
2011-05-30,34.0,69,16.2,0.0,0.0,Valsad
2011-05-31,33.9,70,17.1,0.2,0.0,Valsad
2011-06-01,34.2,73,18.3,0.3,0.0,Valsad
2011-06-02,35.8,72,14.9,1.1,0.0,Valsad
2011-06-03,31.7,70,13.9,0.8,0.0,Valsad
2011-06-04,33.1,78,9.4,27.3,0.0,Valsad
2011-06-05,32.3,87,8.0,14.4,0.0,Valsad
2011-06-06,34.4,79,11.3,1.5,0.0,Valsad
2011-06-07,32.9,74,13.6,0.8,0.0,Valsad
2011-06-08,33.4,70,14.9,0.2,0.0,Valsad
2011-06-09,34.5,72,11.3,4.8,0.0,Valsad
2011-06-10,31.8,77,26.3,0.2,0.0,Valsad
2011-06-11,30.1,82,21.3,4.6,0.0,Valsad
2011-06-12,29.4,82,22.0,1.0,0.0,Valsad
2011-06-13,30.2,83,20.3,0.9,0.0,Valsad
2011-06-14,29.8,85,20.1,2.2,0.0,Valsad
2011-06-15,28.5,86,19.9,2.1,0.0,Valsad
2011-06-16,29.4,89,20.4,2.8,0.0,Valsad
2011-06-17,30.3,83,26.1,5.1,0.0,Valsad
2011-06-18,30.0,83,26.4,5.0,0.0,Valsad
2011-06-19,29.6,85,25.1,8.2,0.0,Valsad
2011-06-20,29.2,85,24.3,5.1,0.0,Valsad
2011-06-21,28.8,88,18.5,5.4,0.0,Valsad
2011-06-22,29.4,87,22.2,6.8,0.0,Valsad
2011-06-23,29.2,88,22.8,8.0,0.0,Valsad
2011-06-24,29.3,89,20.5,8.0,0.0,Valsad
2011-06-25,27.3,89,21.5,4.3,0.0,Valsad
2011-06-26,29.3,89,22.2,6.6,0.0,Valsad
2011-06-27,29.2,88,25.6,6.9,0.0,Valsad
2011-06-28,28.7,90,23.8,6.4,0.0,Valsad
2011-06-29,29.2,89,22.6,7.8,0.0,Valsad
2011-06-30,28.9,88,18.8,4.8,0.0,Valsad
2011-07-01,29.8,86,20.0,2.9,0.0,Valsad
2011-07-02,29.2,85,19.3,3.0,0.0,Valsad
2011-07-03,28.9,85,18.7,1.5,0.0,Valsad
2011-07-04,30.1,83,14.5,1.2,0.0,Valsad
2011-07-05,29.8,85,11.4,3.0,0.0,Valsad
2011-07-06,26.9,91,9.1,8.6,0.0,Valsad
2011-07-07,26.4,95,11.6,35.6,0.0,Valsad
2011-07-08,25.8,95,15.3,32.0,0.0,Valsad
2011-07-09,25.4,95,16.6,29.7,0.0,Valsad
2011-07-10,26.3,93,16.4,16.9,0.0,Valsad
2011-07-11,26.1,93,15.6,11.8,0.0,Valsad
2011-07-12,28.6,91,16.7,8.1,0.0,Valsad
2011-07-13,26.9,93,12.5,11.2,0.0,Valsad
2011-07-14,25.6,96,13.8,29.3,0.0,Valsad
2011-07-15,29.6,89,14.5,10.7,0.0,Valsad
2011-07-16,29.0,87,14.2,5.7,0.0,Valsad
2011-07-17,28.7,87,25.4,3.4,0.0,Valsad
2011-07-18,25.0,96,18.6,193.1,0.0,Valsad
2011-07-19,25.6,95,17.4,42.7,0.0,Valsad
2011-07-20,26.3,92,20.8,7.8,0.0,Valsad
2011-07-21,27.7,88,21.1,4.5,0.0,Valsad
2011-07-22,28.2,89,21.2,3.3,0.0,Valsad
2011-07-23,26.8,92,20.6,9.2,0.0,Valsad
2011-07-24,28.3,89,16.5,3.3,0.0,Valsad
2011-07-25,28.8,89,13.3,7.2,0.0,Valsad
2011-07-26,29.3,86,12.2,4.1,0.0,Valsad
2011-07-27,28.4,89,14.0,4.6,0.0,Valsad
2011-07-28,27.7,91,14.6,6.0,0.0,Valsad
2011-07-29,27.5,92,15.4,18.6,0.0,Valsad
2011-07-30,26.2,95,13.9,41.9,0.0,Valsad
2011-07-31,25.3,96,16.4,40.1,0.0,Valsad
2011-08-01,27.1,93,18.6,13.0,0.0,Valsad
2011-08-02,27.8,90,14.0,3.3,0.0,Valsad
2011-08-03,28.3,89,14.0,2.0,0.0,Valsad
2011-08-04,25.2,96,13.8,11.7,0.0,Valsad
2011-08-05,27.2,93,15.5,5.5,0.0,Valsad
2011-08-06,27.6,90,18.7,6.1,0.0,Valsad
2011-08-07,27.5,89,22.1,6.6,0.0,Valsad
2011-08-08,26.8,89,20.3,10.1,0.0,Valsad
2011-08-09,26.4,93,19.9,12.6,0.0,Valsad
2011-08-10,27.9,89,25.2,6.5,0.0,Valsad
2011-08-11,27.4,91,21.9,10.8,0.0,Valsad
2011-08-12,26.7,93,18.8,18.2,0.0,Valsad
2011-08-13,26.6,93,16.8,11.5,0.0,Valsad
2011-08-14,27.6,91,21.0,10.2,0.0,Valsad
2011-08-15,28.5,88,18.7,3.4,0.0,Valsad
2011-08-16,28.0,89,16.8,4.2,0.0,Valsad
2011-08-17,27.8,87,13.9,2.6,0.0,Valsad
2011-08-18,27.8,88,12.1,2.3,0.0,Valsad
2011-08-19,28.5,86,13.1,0.4,0.0,Valsad
2011-08-20,27.7,89,9.7,6.2,0.0,Valsad
2011-08-21,26.8,91,8.3,15.7,0.0,Valsad
2011-08-22,29.1,87,11.3,2.7,0.0,Valsad
2011-08-23,28.9,91,10.1,13.7,0.0,Valsad
2011-08-24,25.5,96,10.4,26.7,0.0,Valsad
2011-08-25,25.0,96,12.5,55.6,0.0,Valsad
2011-08-26,26.3,95,12.7,17.4,0.0,Valsad
2011-08-27,25.2,96,18.0,34.9,0.0,Valsad
2011-08-28,26.5,94,16.4,20.4,0.0,Valsad
2011-08-29,26.8,92,15.2,1.8,0.0,Valsad
2011-08-30,27.3,90,17.4,3.5,0.0,Valsad
2011-08-31,30.1,84,13.7,1.9,0.0,Valsad
2011-09-01,29.5,89,11.4,13.4,0.0,Valsad
2011-09-02,27.9,90,12.8,8.1,0.0,Valsad
2011-09-03,29.5,87,21.7,3.0,0.0,Valsad
2011-09-04,27.5,92,21.8,10.0,0.0,Valsad
2011-09-05,27.9,90,27.7,8.4,0.0,Valsad
2011-09-06,26.4,92,21.7,13.5,0.0,Valsad
2011-09-07,27.6,89,20.5,6.2,0.0,Valsad
2011-09-08,28.4,86,21.9,2.9,0.0,Valsad
2011-09-09,26.6,90,17.0,1.9,0.0,Valsad
2011-09-10,28.1,90,15.5,2.3,0.0,Valsad
2011-09-11,25.8,92,10.9,32.9,0.0,Valsad
2011-09-12,27.9,89,19.3,2.7,0.0,Valsad
2011-09-13,29.2,82,14.5,0.5,0.0,Valsad
2011-09-14,29.0,87,10.9,13.9,0.0,Valsad
