date,temperature,humidity,wind,city
2011-04-08,-10.0,72,4.7,nubra valley
2011-04-09,-7.5,63,4.1,nubra valley
2011-04-10,-5.2,70,4.2,nubra valley
2011-04-11,-3.0,85,4.7,nubra valley
2011-04-12,-0.7,84,3.6,nubra valley
2011-04-13,-2.1,79,4.4,nubra valley
2011-04-14,-5.4,78,6.0,nubra valley
2011-04-15,-6.7,71,5.5,nubra valley
2011-04-16,-2.4,63,4.7,nubra valley
2011-04-17,-1.1,80,4.2,nubra valley
2011-04-18,0.1,84,4.2,nubra valley
2011-04-19,-1.7,83,4.4,nubra valley
2011-04-20,-2.6,79,5.0,nubra valley
2011-04-21,-2.2,82,4.1,nubra valley
2011-04-22,-2.2,79,4.6,nubra valley
2011-04-23,-1.8,82,6.4,nubra valley
2011-04-24,-1.8,77,5.9,nubra valley
2011-04-25,-0.1,78,6.5,nubra valley
2011-04-26,0.9,76,6.7,nubra valley
2011-04-27,1.0,80,6.2,nubra valley
2011-04-28,1.7,75,6.2,nubra valley
2011-04-29,2.0,65,4.4,nubra valley
2011-04-30,2.3,76,4.4,nubra valley
2011-05-01,2.6,83,4.6,nubra valley
2011-05-02,3.6,89,5.7,nubra valley
2011-05-03,3.4,85,5.1,nubra valley
2011-05-04,4.1,78,6.2,nubra valley
2011-05-05,3.7,78,4.4,nubra valley
2011-05-06,3.2,89,4.0,nubra valley
2011-05-07,3.4,90,4.2,nubra valley
2011-05-08,2.4,79,3.3,nubra valley
2011-05-09,2.0,83,4.4,nubra valley
2011-05-10,3.4,82,4.1,nubra valley
2011-05-11,2.5,83,4.7,nubra valley
2011-05-12,3.6,86,4.2,nubra valley
2011-05-13,3.3,82,3.6,nubra valley
2011-05-14,2.5,81,6.4,nubra valley
2011-05-15,5.3,70,4.3,nubra valley
2011-05-16,5.7,68,4.6,nubra valley
2011-05-17,4.8,72,4.4,nubra valley
2011-05-18,6.7,71,3.8,nubra valley
2011-05-19,6.8,76,3.9,nubra valley
2011-05-20,5.5,82,4.0,nubra valley
2011-05-21,4.2,87,3.8,nubra valley
2011-05-22,3.6,85,3.3,nubra valley
2011-05-23,3.4,85,4.8,nubra valley
2011-05-24,4.2,87,3.7,nubra valley
2011-05-25,5.4,83,4.4,nubra valley
2011-05-26,5.2,85,4.4,nubra valley
2011-05-27,5.8,89,4.1,nubra valley
2011-05-28,6.1,84,3.8,nubra valley
2011-05-29,5.9,83,5.4,nubra valley
2011-05-30,4.8,91,4.6,nubra valley
2011-05-31,5.5,82,5.1,nubra valley
2011-06-01,5.3,82,3.4,nubra valley
2011-06-02,4.6,87,4.1,nubra valley
2011-06-03,4.4,84,3.3,nubra valley
2011-06-04,3.3,83,5.4,nubra valley
2011-06-05,5.5,74,4.4,nubra valley
2011-06-06,6.2,63,3.8,nubra valley
2011-06-07,5.2,78,4.6,nubra valley
2011-06-08,5.2,88,4.6,nubra valley
2011-06-09,3.0,94,4.8,nubra valley
2011-06-10,5.2,86,4.6,nubra valley
2011-06-11,6.6,88,5.6,nubra valley
2011-06-12,6.5,84,5.1,nubra valley
2011-06-13,5.0,95,4.3,nubra valley
2011-06-14,6.6,88,4.6,nubra valley
2011-06-15,6.0,96,4.8,nubra valley
2011-06-16,6.4,95,4.8,nubra valley
2011-06-17,8.4,81,5.6,nubra valley
2011-06-18,8.9,79,3.4,nubra valley
2011-06-19,8.8,84,4.6,nubra valley
2011-06-20,9.4,85,3.6,nubra valley
2011-06-21,7.9,93,4.3,nubra valley
2011-06-22,7.1,94,5.4,nubra valley
2011-06-23,11.7,65,4.1,nubra valley
2011-06-24,12.5,78,5.1,nubra valley
