date,temperature,humidity,wind,city
2011-04-08,-0.1,54,8.8,sonmarg
2011-04-09,6.4,45,6.0,sonmarg
2011-04-10,6.5,81,5.8,sonmarg
2011-04-11,5.4,92,3.6,sonmarg
2011-04-12,7.0,84,4.4,sonmarg
2011-04-13,6.9,77,6.8,sonmarg
2011-04-14,5.3,66,8.0,sonmarg
2011-04-15,8.2,51,6.2,sonmarg
2011-04-16,7.3,68,5.0,sonmarg
2011-04-17,8.1,89,4.8,sonmarg
2011-04-18,6.9,90,4.9,sonmarg
2011-04-19,7.0,80,4.7,sonmarg
2011-04-20,7.1,82,4.4,sonmarg
2011-04-21,6.9,78,6.2,sonmarg
2011-04-22,6.1,74,8.3,sonmarg
2011-04-23,7.5,61,9.0,sonmarg
2011-04-24,8.5,45,7.7,sonmarg
2011-04-25,10.6,40,7.2,sonmarg
2011-04-26,11.9,35,7.2,sonmarg
2011-04-27,12.0,34,6.7,sonmarg
2011-04-28,12.6,43,6.5,sonmarg
2011-04-29,11.8,61,5.7,sonmarg
2011-04-30,10.8,83,5.2,sonmarg
2011-05-01,10.9,77,6.4,sonmarg
2011-05-02,10.6,70,8.3,sonmarg
2011-05-03,12.6,56,7.2,sonmarg
2011-05-04,13.8,55,6.4,sonmarg
2011-05-05,12.9,56,5.5,sonmarg
2011-05-06,10.0,87,4.4,sonmarg
2011-05-07,11.2,83,5.5,sonmarg
2011-05-08,10.3,79,6.8,sonmarg
2011-05-09,11.6,71,7.3,sonmarg
2011-05-10,11.5,78,7.1,sonmarg
2011-05-11,11.4,80,7.3,sonmarg
2011-05-12,11.6,83,5.5,sonmarg
2011-05-13,11.4,80,5.9,sonmarg
2011-05-14,10.3,74,11.0,sonmarg
2011-05-15,11.3,63,11.6,sonmarg
2011-05-16,12.5,66,9.8,sonmarg
2011-05-17,14.7,58,7.0,sonmarg
2011-05-18,15.9,63,5.2,sonmarg
2011-05-19,15.4,78,5.6,sonmarg
2011-05-20,14.3,85,5.8,sonmarg
2011-05-21,12.0,89,6.5,sonmarg
2011-05-22,12.0,85,5.2,sonmarg
2011-05-23,12.2,83,7.7,sonmarg
2011-05-24,15.9,72,7.5,sonmarg
2011-05-25,17.0,62,5.1,sonmarg
2011-05-26,13.9,85,5.8,sonmarg
2011-05-27,13.5,91,4.8,sonmarg
2011-05-28,14.9,85,7.2,sonmarg
2011-05-29,16.0,81,5.1,sonmarg
2011-05-30,16.0,75,5.4,sonmarg
2011-05-31,14.6,82,8.0,sonmarg
2011-06-01,11.2,87,6.0,sonmarg
2011-06-02,11.0,92,6.0,sonmarg
2011-06-03,13.7,78,7.0,sonmarg
2011-06-04,14.0,73,8.5,sonmarg
2011-06-05,16.7,64,5.7,sonmarg
2011-06-06,16.2,64,6.4,sonmarg
2011-06-07,17.2,59,7.4,sonmarg
2011-06-08,17.0,60,7.4,sonmarg
2011-06-09,16.7,67,7.9,sonmarg
2011-06-10,17.0,73,6.2,sonmarg
2011-06-11,17.0,79,7.0,sonmarg
2011-06-12,16.5,87,5.9,sonmarg
2011-06-13,16.1,87,6.7,sonmarg
2011-06-14,17.0,79,8.0,sonmarg
2011-06-15,17.9,67,7.2,sonmarg
2011-06-16,18.9,65,7.2,sonmarg
2011-06-17,18.7,66,5.7,sonmarg
2011-06-18,16.7,81,4.9,sonmarg
2011-06-19,18.4,76,3.9,sonmarg
2011-06-20,18.4,75,4.0,sonmarg
2011-06-21,19.8,75,4.2,sonmarg
2011-06-22,20.7,74,4.7,sonmarg
2011-06-23,20.5,77,4.2,sonmarg
2011-06-24,21.6,77,6.2,sonmarg
2011-06-25,22.8,71,5.1,sonmarg
2011-06-26,21.7,88,5.4,sonmarg
2011-06-27,20.0,90,4.8,sonmarg
2011-06-28,19.0,92,6.8,sonmarg
2011-06-29,18.7,94,5.6,sonmarg
2011-06-30,18.9,93,7.4,sonmarg
2011-07-01,18.3,90,5.3,sonmarg
2011-07-02,17.6,89,5.6,sonmarg
2011-07-03,18.9,84,6.3,sonmarg
2011-07-04,20.1,77,5.8,sonmarg
2011-07-05,20.6,78,5.4,sonmarg
2011-07-06,21.7,79,5.4,sonmarg
2011-07-07,20.7,88,6.5,sonmarg
2011-07-08,19.6,93,5.8,sonmarg
2011-07-09,17.6,96,5.4,sonmarg
2011-07-10,19.2,86,6.2,sonmarg
2011-07-11,19.9,84,5.9,sonmarg
2011-07-12,22.0,80,6.5,sonmarg
2011-07-13,23.3,72,5.7,sonmarg
2011-07-14,21.4,88,6.9,sonmarg
2011-07-15,19.8,93,7.4,sonmarg
2011-07-16,17.9,97,5.5,sonmarg
2011-07-17,21.0,82,7.2,sonmarg
2011-07-18,21.1,82,7.4,sonmarg
2011-07-19,22.3,83,7.4,sonmarg
2011-07-20,23.1,81,7.1,sonmarg
2011-07-21,22.3,86,7.6,sonmarg
2011-07-22,23.6,91,7.4,sonmarg
2011-07-23,23.5,86,7.0,sonmarg
2011-07-24,23.0,89,6.5,sonmarg
2011-07-25,22.9,91,7.8,sonmarg
2011-07-26,22.4,94,7.6,sonmarg
2011-07-27,22.6,92,8.2,sonmarg
2011-07-28,22.3,81,7.7,sonmarg
2011-07-29,21.8,87,7.4,sonmarg
2011-07-30,21.6,81,7.4,sonmarg
2011-07-31,21.4,79,7.4,sonmarg
2011-08-01,21.5,78,7.7,sonmarg
2011-08-02,22.7,78,5.4,sonmarg
2011-08-03,24.8,67,6.4,sonmarg
2011-08-04,23.4,79,6.3,sonmarg
2011-08-05,24.5,84,6.7,sonmarg
2011-08-06,24.4,88,6.6,sonmarg
2011-08-07,23.5,90,5.9,sonmarg
2011-08-08,22.7,90,7.4,sonmarg
2011-08-09,22.7,89,7.4,sonmarg
2011-08-10,22.0,89,7.7,sonmarg
2011-08-11,21.4,91,8.4,sonmarg
2011-08-12,19.9,89,7.1,sonmarg
2011-08-13,20.6,94,7.4,sonmarg
2011-08-14,20.0,89,6.4,sonmarg
2011-08-15,19.6,90,6.1,sonmarg
2011-08-16,20.0,88,7.5,sonmarg
2011-08-17,20.5,83,7.4,sonmarg
2011-08-18,19.6,86,7.2,sonmarg
2011-08-19,21.9,86,7.1,sonmarg
2011-08-20,21.7,84,6.7,sonmarg
2011-08-21,22.9,83,5.0,sonmarg
2011-08-22,24.1,81,6.0,sonmarg
2011-08-23,26.0,79,5.3,sonmarg
2011-08-24,24.4,88,7.1,sonmarg
2011-08-25,23.0,90,7.0,sonmarg
2011-08-26,22.8,89,7.1,sonmarg
2011-08-27,21.3,93,6.4,sonmarg
2011-08-28,20.0,93,6.4,sonmarg
2011-08-29,20.9,90,7.2,sonmarg
2011-08-30,21.0,85,6.9,sonmarg
2011-08-31,21.5,86,6.6,sonmarg
2011-09-01,21.6,87,7.4,sonmarg
2011-09-02,20.3,89,7.0,sonmarg
2011-09-03,21.4,89,6.9,sonmarg
2011-09-04,21.1,90,7.8,sonmarg
2011-09-05,22.2,87,7.2,sonmarg
2011-09-06,22.3,85,7.2,sonmarg
2011-09-07,22.5,85,6.9,sonmarg
2011-09-08,22.0,90,6.6,sonmarg
2011-09-09,21.1,93,7.0,sonmarg
2011-09-10,21.4,92,7.4,sonmarg
2011-09-11,20.1,85,8.2,sonmarg
2011-09-12,21.6,86,6.4,sonmarg
2011-09-13,21.4,89,7.0,sonmarg
2011-09-14,20.7,87,7.7,sonmarg
2011-09-15,19.2,94,6.6,sonmarg
2011-09-16,13.3,98,4.7,sonmarg
2011-09-17,15.0,89,3.7,sonmarg
2011-09-18,14.8,88,5.2,sonmarg
2011-09-19,15.1,87,6.4,sonmarg
2011-09-20,14.9,82,6.2,sonmarg
2011-09-21,17.2,72,6.4,sonmarg
2011-09-22,16.4,72,6.1,sonmarg
2011-09-23,17.0,70,7.1,sonmarg
2011-09-24,17.1,71,6.9,sonmarg
2011-09-25,17.4,70,8.4,sonmarg
2011-09-26,16.0,77,7.6,sonmarg
2011-09-27,17.5,70,5.6,sonmarg
2011-09-28,18.4,63,7.3,sonmarg
2011-09-29,17.9,73,7.1,sonmarg
2011-09-30,17.5,73,8.2,sonmarg
2011-10-01,17.4,74,7.2,sonmarg
2011-10-02,19.5,59,8.2,sonmarg
2011-10-03,20.6,51,10.7,sonmarg
2011-10-04,19.8,67,8.0,sonmarg
2011-10-05,16.7,83,8.4,sonmarg
2011-10-06,14.3,83,7.7,sonmarg
2011-10-07,11.7,89,6.9,sonmarg
2011-10-08,10.4,90,6.1,sonmarg
2011-10-09,10.6,86,6.7,sonmarg
2011-10-10,13.8,72,5.0,sonmarg
2011-10-11,16.1,62,5.8,sonmarg
2011-10-12,16.8,57,7.2,sonmarg
2011-10-13,17.0,54,7.6,sonmarg
2011-10-14,11.8,81,6.9,sonmarg
2011-10-15,13.7,71,6.0,sonmarg
2011-10-16,13.0,70,5.6,sonmarg
2011-10-17,11.8,74,5.9,sonmarg
2011-10-18,11.1,80,5.8,sonmarg
2011-10-19,12.1,72,7.5,sonmarg
2011-10-20,10.1,74,6.8,sonmarg
2011-10-21,10.3,78,6.4,sonmarg
2011-10-22,9.4,85,4.5,sonmarg
2011-10-23,5.2,91,4.0,sonmarg
2011-10-24,4.8,76,7.1,sonmarg
2011-10-25,2.4,67,8.3,sonmarg
2011-10-26,1.7,57,9.8,sonmarg
2011-10-27,3.8,50,9.8,sonmarg
2011-10-28,5.8,49,9.8,sonmarg
2011-10-29,7.4,66,5.0,sonmarg
2011-10-30,7.1,78,4.7,sonmarg
2011-10-31,5.8,84,5.8,sonmarg
2011-11-01,6.2,79,6.0,sonmarg
2011-11-02,6.5,80,5.0,sonmarg
2011-11-03,5.8,85,5.0,sonmarg
2011-11-04,5.4,82,4.1,sonmarg
2011-11-05,4.3,83,7.5,sonmarg
2011-11-06,0.3,79,10.2,sonmarg
2011-11-07,2.3,54,11.1,sonmarg
2011-11-08,6.7,46,6.3,sonmarg
2011-11-09,8.0,88,6.4,sonmarg
2011-11-10,8.1,87,4.5,sonmarg
2011-11-11,7.4,86,4.0,sonmarg
2011-11-12,5.1,77,6.0,sonmarg
2011-11-13,3.9,77,5.5,sonmarg
2011-11-14,4.1,74,5.5,sonmarg
2011-11-15,4.6,80,4.1,sonmarg
2011-11-16,1.4,81,5.5,sonmarg
2011-11-17,2.9,76,8.3,sonmarg
2011-11-18,6.7,79,5.0,sonmarg
2011-11-19,6.3,81,4.8,sonmarg
2011-11-20,5.4,84,5.8,sonmarg
2011-11-21,4.2,69,9.0,sonmarg
2011-11-22,5.2,55,7.8,sonmarg
2011-11-23,7.5,43,5.0,sonmarg
2011-11-24,6.9,59,4.3,sonmarg
2011-11-25,6.4,70,5.3,sonmarg
2011-11-26,5.7,66,4.8,sonmarg
2011-11-27,4.1,79,5.6,sonmarg
2011-11-28,2.7,79,7.1,sonmarg
2011-11-29,5.3,60,6.8,sonmarg
2011-11-30,8.0,39,9.5,sonmarg
2011-12-01,10.3,47,8.3,sonmarg
2011-12-02,8.2,70,5.1,sonmarg
2011-12-03,5.5,75,5.8,sonmarg
2011-12-04,5.5,69,5.6,sonmarg
2011-12-05,3.8,71,7.8,sonmarg
2011-12-06,4.3,73,5.4,sonmarg
2011-12-07,2.3,83,4.5,sonmarg
2011-12-08,2.3,78,5.8,sonmarg
2011-12-09,1.7,80,5.7,sonmarg
2011-12-10,-3.7,51,10.5,sonmarg
2011-12-11,-5.2,32,12.3,sonmarg
2011-12-12,-0.8,30,7.0,sonmarg
2011-12-13,-2.8,41,6.5,sonmarg
