date,temperature,humidity,wind,precipitation,snowfall,city
2011-04-11,20.4,65,23.3,0.0,0.0,tel aviv
2011-04-12,17.5,66,32.8,1.9,0.0,tel aviv
2011-04-13,18.9,57,16.1,0.0,0.0,tel aviv
2011-04-14,22.8,60,18.7,0.0,0.0,tel aviv
2011-04-15,24.2,57,12.9,0.0,0.0,tel aviv
2011-04-16,30.4,44,17.4,0.0,0.0,tel aviv
2011-04-17,32.3,32,16.6,0.0,0.0,tel aviv
2011-04-18,35.1,24,23.3,0.0,0.0,tel aviv
2011-04-19,21.5,71,20.3,0.0,0.0,tel aviv
2011-04-20,20.0,71,17.6,0.1,0.0,tel aviv
2011-04-21,19.1,67,15.3,0.5,0.0,tel aviv
2011-04-22,16.8,75,16.6,4.5,0.0,tel aviv
2011-04-23,20.2,71,16.3,0.2,0.0,tel aviv
2011-04-24,22.1,65,22.2,0.0,0.0,tel aviv
2011-04-25,21.4,65,17.8,0.0,0.0,tel aviv
2011-04-26,22.9,67,19.2,0.0,0.0,tel aviv
2011-04-27,27.4,58,16.2,0.0,0.0,tel aviv
2011-04-28,26.3,54,22.4,0.0,0.0,tel aviv
2011-04-29,23.5,71,20.9,1.5,0.0,tel aviv
2011-04-30,20.5,81,18.1,2.4,0.0,tel aviv
2011-05-01,20.9,77,17.7,0.6,0.0,tel aviv
2011-05-02,30.3,48,20.7,0.0,0.0,tel aviv
2011-05-03,22.9,71,16.6,0.0,0.0,tel aviv
2011-05-04,31.2,50,20.9,0.0,0.0,tel aviv
2011-05-05,30.5,47,19.6,0.0,0.0,tel aviv
2011-05-06,22.9,70,17.3,0.0,0.0,tel aviv
2011-05-07,21.1,71,17.3,1.3,0.0,tel aviv
2011-05-08,21.6,72,18.1,0.7,0.0,tel aviv
2011-05-09,23.8,72,20.4,0.0,0.0,tel aviv
2011-05-10,23.5,69,19.1,0.0,0.0,tel aviv
2011-05-11,24.5,59,13.1,0.0,0.0,tel aviv
2011-05-12,22.7,56,23.1,0.0,0.0,tel aviv
2011-05-13,20.5,70,23.6,4.0,0.0,tel aviv
2011-05-14,19.7,76,20.9,10.6,0.0,tel aviv
2011-05-15,22.2,69,19.1,0.0,0.0,tel aviv
2011-05-16,25.8,69,26.3,0.0,0.0,tel aviv
2011-05-17,26.8,69,18.4,0.0,0.0,tel aviv
2011-05-18,24.6,76,17.6,0.0,0.0,tel aviv
2011-05-19,25.8,64,17.7,0.0,0.0,tel aviv
2011-05-20,30.5,50,20.9,0.0,0.0,tel aviv
2011-05-21,25.5,64,19.5,0.0,0.0,tel aviv
2011-05-22,26.4,64,20.7,0.0,0.0,tel aviv
2011-05-23,26.5,68,18.3,0.0,0.0,tel aviv
2011-05-24,27.3,69,19.0,0.0,0.0,tel aviv
2011-05-25,27.5,68,18.9,0.0,0.0,tel aviv
2011-05-26,27.8,61,16.5,0.0,0.0,tel aviv
2011-05-27,34.4,47,26.6,0.0,0.0,tel aviv
2011-05-28,30.2,56,24.0,0.6,0.0,tel aviv
2011-05-29,25.0,74,18.8,0.0,0.0,tel aviv
2011-05-30,26.4,70,21.1,0.0,0.0,tel aviv
2011-05-31,26.9,69,20.6,0.0,0.0,tel aviv
2011-06-01,25.4,72,19.5,0.0,0.0,tel aviv
2011-06-02,25.6,71,17.3,0.0,0.0,tel aviv
2011-06-03,27.0,72,17.7,0.0,0.0,tel aviv
2011-06-04,27.6,71,18.1,0.0,0.0,tel aviv
2011-06-05,27.1,74,16.1,0.0,0.0,tel aviv
2011-06-06,27.3,75,17.4,0.0,0.0,tel aviv
2011-06-07,28.7,73,19.0,0.0,0.0,tel aviv
2011-06-08,28.4,75,16.8,0.0,0.0,tel aviv
2011-06-09,29.5,71,17.1,0.0,0.0,tel aviv
2011-06-10,31.4,62,16.7,0.0,0.0,tel aviv
2011-06-11,27.0,72,19.1,0.0,0.0,tel aviv
2011-06-12,27.3,71,19.1,0.0,0.0,tel aviv
2011-06-13,25.4,72,23.8,0.1,0.0,tel aviv
2011-06-14,25.5,73,14.6,0.2,0.0,tel aviv
2011-06-15,28.0,71,20.3,0.0,0.0,tel aviv
2011-06-16,27.6,70,21.1,0.0,0.0,tel aviv
2011-06-17,27.2,72,20.4,0.0,0.0,tel aviv
2011-06-18,26.9,68,17.6,0.0,0.0,tel aviv
2011-06-19,27.2,71,17.4,0.0,0.0,tel aviv
2011-06-20,28.1,73,19.3,0.0,0.0,tel aviv
2011-06-21,29.2,73,18.2,0.0,0.0,tel aviv
2011-06-22,29.4,76,17.9,0.0,0.0,tel aviv
2011-06-23,30.2,75,18.4,0.0,0.0,tel aviv
2011-06-24,29.9,72,19.9,0.0,0.0,tel aviv
2011-06-25,29.3,72,19.2,0.0,0.0,tel aviv
2011-06-26,28.3,69,17.3,0.0,0.0,tel aviv
2011-06-27,28.1,64,19.9,0.0,0.0,tel aviv
2011-06-28,27.5,68,19.2,0.0,0.0,tel aviv
2011-06-29,26.0,65,18.4,0.0,0.0,tel aviv
2011-06-30,27.6,59,18.6,0.0,0.0,tel aviv
2011-07-01,28.4,67,19.9,0.0,0.0,tel aviv
2011-07-02,28.1,69,16.5,0.0,0.0,tel aviv
2011-07-03,29.7,71,18.7,0.0,0.0,tel aviv
2011-07-04,30.1,68,18.6,0.0,0.0,tel aviv
2011-07-05,28.5,69,14.4,0.0,0.0,tel aviv
2011-07-06,29.5,68,17.1,0.0,0.0,tel aviv
2011-07-07,29.5,69,16.7,0.0,0.0,tel aviv
2011-07-08,31.5,69,20.3,0.0,0.0,tel aviv
2011-07-09,31.8,69,19.2,0.0,0.0,tel aviv
2011-07-10,31.2,69,16.9,0.0,0.0,tel aviv
2011-07-11,31.2,68,17.7,0.0,0.0,tel aviv
2011-07-12,30.8,68,17.4,0.0,0.0,tel aviv
2011-07-13,30.8,69,16.5,0.0,0.0,tel aviv
2011-07-14,31.8,68,18.4,0.0,0.0,tel aviv
2011-07-15,31.0,71,17.7,0.0,0.0,tel aviv
2011-07-16,30.0,74,18.6,0.0,0.0,tel aviv
2011-07-17,29.5,73,18.7,0.0,0.0,tel aviv
2011-07-18,30.2,72,19.1,0.0,0.0,tel aviv
2011-07-19,30.9,71,19.1,0.0,0.0,tel aviv
2011-07-20,31.0,68,18.1,0.0,0.0,tel aviv
2011-07-21,31.6,64,18.2,0.0,0.0,tel aviv
2011-07-22,30.6,67,16.6,0.0,0.0,tel aviv
2011-07-23,29.4,69,17.3,0.0,0.0,tel aviv
2011-07-24,30.7,71,17.7,0.0,0.0,tel aviv
2011-07-25,34.0,65,17.9,0.0,0.0,tel aviv
2011-07-26,32.5,68,21.4,0.0,0.0,tel aviv
2011-07-27,32.3,69,18.4,0.0,0.0,tel aviv
2011-07-28,31.4,71,17.7,0.0,0.0,tel aviv
2011-07-29,32.4,64,15.3,0.0,0.0,tel aviv
2011-07-30,32.8,73,18.1,0.0,0.0,tel aviv
2011-07-31,31.7,74,18.1,0.0,0.0,tel aviv
2011-08-01,31.5,74,16.5,0.0,0.0,tel aviv
2011-08-02,31.3,71,17.2,0.0,0.0,tel aviv
2011-08-03,31.9,70,17.6,0.0,0.0,tel aviv
2011-08-04,31.0,70,17.5,0.0,0.0,tel aviv
2011-08-05,30.5,72,16.5,0.0,0.0,tel aviv
2011-08-06,30.8,74,17.5,0.0,0.0,tel aviv
2011-08-07,30.8,73,17.6,0.0,0.0,tel aviv
2011-08-08,30.6,75,17.3,0.0,0.0,tel aviv
2011-08-09,30.3,76,19.8,0.0,0.0,tel aviv
2011-08-10,30.5,75,19.1,0.0,0.0,tel aviv
2011-08-11,30.4,70,18.4,0.0,0.0,tel aviv
2011-08-12,30.7,70,19.8,0.0,0.0,tel aviv
2011-08-13,28.6,67,18.9,0.1,0.0,tel aviv
2011-08-14,28.6,70,18.1,0.0,0.0,tel aviv
2011-08-15,30.1,72,18.2,0.0,0.0,tel aviv
2011-08-16,30.4,71,17.8,0.0,0.0,tel aviv
2011-08-17,30.7,73,18.7,0.0,0.0,tel aviv
2011-08-18,30.1,72,18.9,0.0,0.0,tel aviv
2011-08-19,29.8,70,16.2,0.0,0.0,tel aviv
2011-08-20,31.6,72,18.7,0.0,0.0,tel aviv
2011-08-21,31.3,75,18.7,0.0,0.0,tel aviv
2011-08-22,31.9,71,19.5,0.0,0.0,tel aviv
2011-08-23,32.2,69,18.6,0.0,0.0,tel aviv
2011-08-24,31.1,75,17.9,0.0,0.0,tel aviv
2011-08-25,30.9,75,19.6,0.0,0.0,tel aviv
2011-08-26,30.9,73,16.7,0.0,0.0,tel aviv
2011-08-27,31.1,74,18.3,0.0,0.0,tel aviv
